GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16620" ,"Charleston, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",11920.8,12030.1,11884.6,12071.7,12218.3,12407.8,12487.1,12762.5,13067.8,13235.8,13140.4,12683.4,12111.5,11283.9,11511.5,11050.0,11143.4
 "16620" ,"Charleston, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",10202.0,10246.2,10054.5,10255.7,10322.3,10611.6,10710.7,11034.6,11327.1,11504.8,11417.7,10931.3,10401.6,9630.0,9884.7,9412.7,9523.4
 "16620" ,"Charleston, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),8.6,5.1,(D),(D),(D),(D),4.4,4.0,4.0,(D),(D),(D),(D),(D),(D)
 "16620" ,"Charleston, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",(L),2.0,1.3,0.0,0.0,1.9,1.0,1.0,0.9,1.2,1.1,0.3,0.3,1.3,1.2,1.2,(NA)
 "16620" ,"Charleston, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),7.1,5.1,(D),(D),(D),(D),3.5,2.8,2.9,(D),(D),(D),(D),(D),(NA)
 "16620" ,"Charleston, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),2053.5,2168.0,(D),(D),(D),(D),2206.9,2230.1,2171.1,(D),(D),(D),(D),(D),(D)
 "16620" ,"Charleston, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),228.0,372.0,491.4,450.1,(NA)
 "16620" ,"Charleston, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",2160.6,(D),1926.0,2016.0,1891.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16620" ,"Charleston, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),134.6,138.3,(D),(D),(D),(D),(D),46.1,61.1,48.9,36.3,(NA)
 "16620" ,"Charleston, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),234.0,247.5,243.1,247.6,262.8,273.8,263.5
 "16620" ,"Charleston, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",(D),(D),(D),418.5,415.0,436.0,457.2,(D),466.9,525.2,574.2,609.9,558.6,565.9,(D),(D),442.1
 "16620" ,"Charleston, WV (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",(D),(D),(D),(D),(D),(D),740.2,769.4,910.2,810.3,736.4,652.0,696.3,630.1,(D),(D),(D)
