GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3304.1,3507.1,3707.5,4120.4,4529.0,4701.4,4148.8,3928.0,3688.4,3693.9,3703.2,3638.3,3622.2,3672.9,3630.8,3620.0,3758.9
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2799.8,3006.8,3198.5,3599.8,3978.6,4122.4,3548.1,3301.6,3114.8,3107.5,3131.0,3057.6,3063.8,3141.0,3113.7,3112.2,3244.4
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),16.0,20.3,20.9,(D),(D),(D),(D),(D),17.5,12.2,(D),(D),12.7,9.6,(D)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",11.1,8.9,14.1,16.6,17.5,17.9,8.5,10.4,0.6,0.7,13.5,8.7,8.5,16.4,10.0,7.6,(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),0.6,2.4,2.0,(D),(D),(D),(D),(D),1.8,2.3,(D),(D),1.1,0.8,(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),42.2,42.6,30.2,(D),38.7,57.8,81.0,147.0,219.3,191.6,181.2,191.4,25.3,15.5,(D)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(L),(L),0.0,0.0,0.0,0.0,0.0,0.0,(L),0.2,0.3,0.2,0.1,(L),(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",29.6,34.1,(D),(D),(D),(D),(D),57.3,80.1,145.4,218.0,189.6,179.7,190.2,24.8,(D),(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),0.5,0.8,1.6,1.2,1.7,1.0,0.9,0.4,(D),(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",94.1,117.6,97.9,110.1,96.3,104.4,103.3,93.3,93.5,100.1,106.8,92.3,145.7,139.1,134.2,137.0,127.0
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",477.8,516.3,506.3,522.8,548.6,512.4,414.9,330.0,221.6,132.4,145.9,118.4,148.9,151.9,164.8,171.8,202.8
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",239.1,251.4,267.9,294.0,308.3,330.0,371.9,313.0,281.0,265.1,243.4,245.0,234.2,244.7,259.5,261.3,266.7
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",168.4,179.1,197.9,210.8,228.6,246.5,268.2,204.2,156.4,159.9,161.8,165.5,161.2,169.6,176.0,176.9,182.5
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",10.6,8.5,8.6,11.3,13.0,10.5,9.6,9.0,7.3,6.1,6.2,4.0,(D),(D),(D),(D),(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",21.6,36.7,44.3,46.2,50.9,55.0,69.6,46.2,27.5,27.6,26.3,29.4,24.7,28.3,27.6,27.5,(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",17.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16.7,23.9,24.9,27.2,24.6,(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",19.1,20.6,21.9,23.4,26.8,27.8,42.3,49.1,30.6,38.5,31.9,34.2,29.2,29.1,29.8,27.2,(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",3.0,3.5,4.2,3.5,4.2,4.4,4.8,(D),(D),7.4,6.0,5.6,4.8,4.7,4.3,3.8,(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),3.7,2.5,1.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",4.5,5.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.0,0.0,0.0,0.0,(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6.9,7.9,8.2,12.7,(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),7.9,12.3,13.4,(D),(D),(D),13.8,(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",27.7,25.7,28.6,35.3,40.3,43.3,27.5,21.4,25.9,23.8,22.3,23.0,27.6,(D),32.8,35.4,(NA)
 "29420" ,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",22.0,25.8,24.3,22.5,26.4,30.6,21.5,19.4,21.1,30.8,26.7,21.8,19.2,20.6,21.5,18.3,(NA)
