GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3159.5,3234.5,3462.7,3474.8,3662.2,3704.1,3810.5,3958.2,4204.6,4309.9,4261.7,3998.3,3719.7,3536.2,3506.6,3488.8,3510.9
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",1629.2,1710.6,1872.6,1836.7,1955.5,2010.2,2109.0,2182.9,2397.9,2378.9,2226.4,2019.5,1867.8,1812.7,1802.0,1885.1,1925.8
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),63.9,65.9,113.7,73.2,70.0,42.3,46.0,(D),(D),(D),67.8,64.1,78.4,134.4,119.8
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",70.3,57.2,57.2,59.5,106.2,65.3,62.0,35.7,38.9,44.0,53.0,47.6,60.3,56.0,68.7,123.3,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),6.1,5.7,5.5,6.9,7.2,6.6,7.0,(D),(D),(D),6.4,7.4,8.9,10.1,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",5.8,11.1,14.2,7.5,10.4,16.1,18.7,22.6,31.6,41.2,34.3,29.6,23.4,21.1,16.4,11.4,17.8
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,(L),(L),0.0,0.0,(L),(L),(L),(L),0.1,0.1,0.1,0.1,0.1,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",5.8,11.2,14.4,(D),10.1,15.6,17.7,22.1,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),0.0,(D),0.2,0.4,0.9,0.4,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",190.9,191.1,193.1,211.3,187.4,189.4,204.7,204.9,206.6,233.5,229.3,186.6,179.6,175.3,170.0,181.3,183.2
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",173.1,175.4,179.7,186.9,182.9,187.4,166.7,155.8,200.8,167.6,156.2,122.9,98.3,97.8,99.3,101.6,102.8
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",68.3,64.5,60.9,57.9,69.5,73.2,100.8,88.7,91.6,80.5,(D),69.1,44.0,45.8,46.4,45.3,43.9
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",38.1,39.9,38.6,37.0,39.7,40.1,51.0,41.3,27.9,22.5,(D),27.2,(D),13.5,14.4,14.7,13.8
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",3.0,2.6,1.0,0.9,1.1,1.0,(D),0.7,0.5,0.4,0.5,(D),(D),(D),0.3,0.6,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",10.5,9.8,14.7,16.0,19.4,21.7,31.0,24.8,18.4,12.5,12.0,15.3,8.9,4.2,3.9,3.6,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(L),(L),(L),0.0,0.0,0.0,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",1.1,1.1,2.3,2.9,2.5,2.3,2.4,4.2,2.0,2.6,2.3,3.0,2.9,2.6,2.2,1.9,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(L),0.1,(D),(D),0.0,0.1,(L),0.0,(D),0.0,(D),(D),4.7,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",5.6,6.5,3.9,2.3,3.2,3.0,2.9,2.6,1.8,2.1,1.4,2.0,(D),(D),(D),(D),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(L),(D),(D),(D),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",2.2,(D),2.2,(D),3.0,(D),(D),(D),(D),(D),(D),(D),(D),0.0,0.0,0.0,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",0.0,0.0,(L),(D),0.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),2.1,(D),(D),(D),(D),0.6,(D),(D),(D),0.8,(D),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",7.2,7.9,6.9,5.9,5.5,2.1,1.7,1.5,0.7,0.7,1.0,1.6,1.7,1.4,2.1,1.7,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",29.1,22.8,20.3,18.9,28.3,31.9,48.9,47.1,63.7,58.0,58.2,42.8,(D),32.4,32.1,30.8,30.3
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),12.9,(D),(D),(D),(D),12.9,16.8,15.9,16.4,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),0.7,0.5,(D),(D),(D),(D),(D),(D),(D),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),0.3,0.2,0.2,0.2,(D),(L),(L),0.2,0.1,(D),(D),(D),(D),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",0.0,0.0,0.0,(L),(L),(L),(L),(L),0.1,(L),0.0,0.0,0.1,0.0,(L),(L),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",0.8,1.0,1.1,1.2,1.1,1.0,1.0,0.6,0.6,0.9,0.8,0.8,0.7,0.6,0.5,(D),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(L),(L),(L),0.1,0.1,(L),(L),(L),(L),0.0,(L),(L),(L),0.0,(L),(L),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",0.0,0.0,0.0,0.0,0.0,(L),(L),0.1,0.2,0.0,0.0,0.0,(L),0.0,(L),(L),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",33.8,33.8,39.0,40.3,38.0,49.0,45.2,46.6,40.4,43.9,45.6,39.2,38.4,39.6,38.7,40.9,41.9
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",241.0,259.5,388.5,271.9,262.9,274.3,289.7,300.9,306.4,306.8,265.0,248.0,239.4,239.0,237.3,247.4,253.0
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",36,"48-49","  Transportation and warehousing",48.6,48.6,47.7,56.2,58.2,61.4,61.1,58.4,58.9,55.5,52.1,51.2,50.0,55.4,56.1,61.7,63.0
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",37,"481","   Air transportation",0.0,0.0,0.0,0.0,(L),0.0,1.7,0.0,0.0,0.2,0.2,0.2,0.5,0.4,0.4,0.1,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",38,"482","   Rail transportation",4.7,4.4,4.8,5.9,5.7,5.8,6.0,6.7,5.7,5.7,6.1,6.1,6.0,6.6,7.1,6.8,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",39,"483","   Water transportation",(L),0.0,(L),(L),(L),(L),(L),0.1,0.0,0.0,(L),(L),0.1,0.1,(L),(L),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",40,"484","   Truck transportation",23.6,23.1,22.5,27.2,26.4,28.8,26.7,23.5,18.5,17.6,15.5,17.3,15.4,18.8,19.7,23.4,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",41,"485","   Transit and ground passenger transportation",3.9,(D),2.6,(D),(D),(D),(D),(D),(D),4.3,4.4,4.6,(D),(D),(D),(D),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",42,"486","   Pipeline transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),14.6,16.5,(D),(D),(D),(D),(D),(D),20.1,17.6,(D),(D),22.9,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",44,"493","   Warehousing and storage",5.4,6.0,4.2,4.1,(D),(D),(D),(D),2.9,2.7,3.0,(D),3.7,3.9,3.9,3.4,(NA)
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",45,"51","  Information",57.7,70.2,77.6,81.7,63.5,60.4,77.9,117.9,197.3,178.7,148.2,70.5,67.7,64.0,72.7,72.3,66.9
 "43420" ,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",46,"511","   Publishing industries (except Internet)",(D),(D),14.5,24.5,13.5,9.6,11.9,12.6,6.3,3.9,10.4,10.5,9.8,8.3,7.1,(D),(NA)
