GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",8928.5,10265.2,10720.4,12476.8,12546.6,12371.0,12393.1,11235.5,10922.1,10644.6,10759.3,11488.6,10652.0,11364.3,11914.1,12102.6,12525.1
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",5921.8,7042.7,7499.8,9154.7,9320.0,9137.7,9080.8,7948.1,7675.3,7324.9,7301.7,7675.4,6856.0,7562.6,8194.1,8352.3,8800.1
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19.3,26.6,34.6,24.0,(D)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",4.9,0.8,3.9,3.7,3.9,7.5,4.8,6.1,8.7,11.5,10.5,12.3,8.6,17.2,23.9,14.9,(NA)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9.6,6.0,5.9,5.7,(NA)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12.7,5.8,16.4,24.7,(D)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,0.1,0.3,1.2,1.8,2.7,2.1,1.3,0.5,1.5,(D),(D),(NA)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.6,10.8,22.1,(NA)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.3,(D),(D),(NA)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",126.6,141.0,152.3,182.6,192.9,239.8,235.9,226.9,214.3,265.0,248.2,222.6,226.5,205.9,203.4,211.4,208.1
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",497.0,502.7,723.9,914.8,1020.2,892.4,693.1,513.8,376.2,369.4,317.5,460.8,429.9,411.2,452.9,494.2,490.8
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",223.1,260.1,312.5,355.6,418.5,437.5,559.4,556.9,581.7,435.1,396.6,352.4,376.8,354.4,372.5,358.0,344.3
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),378.0,502.9,513.9,537.5,405.8,363.0,(D),353.4,314.5,322.7,311.6,296.2
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),7.0,(D),(D),(D),(D),(D),(D),3.2,(D),(D),(NA)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",10.2,13.8,16.1,21.0,30.5,33.6,(D),(D),10.3,8.2,6.9,10.9,14.1,(D),(D),13.5,(NA)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(L),0.4,0.3,(D),(D),(D),(D),(D),(D),0.0,(D),(D),(D),(NA)
