GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "19340" ,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",15319.0,15441.9,15967.5,17202.0,17515.7,17621.9,17793.2,18043.5,17472.2,17713.4,18222.5,18665.9,17805.6,17505.4,17177.6,16998.8,17439.5
 "19340" ,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",13211.6,13266.1,13749.5,14972.0,15236.2,15341.6,15548.2,15763.3,15197.5,15323.1,15877.2,16450.0,15688.0,15400.3,15094.8,14916.2,15390.1
 "19340" ,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "19340" ,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",65.7,99.7,204.4,178.1,87.7,118.4,149.6,222.6,183.5,143.5,244.1,155.1,232.3,145.1,41.1,68.7,(NA)
 "19340" ,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19340" ,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "19340" ,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),0.1,0.3,0.4,0.4,(L),0.4,0.0,0.5,0.8,0.4,4.7,5.5,11.5,9.0,(NA)
 "19340" ,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19340" ,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19340" ,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),679.4,604.0,593.0,621.3,651.5
