GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",94562.8,93594.1,96838.7,102153.2,103089.5,106623.0,108778.7,110469.9,106343.3,109876.4,109660.7,109668.9,114432.6,115622.0,115402.6,119626.7,122607.7
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",85694.3,84680.5,87872.2,93070.3,93912.4,96125.4,99560.4,101011.9,96805.3,100510.9,100424.4,100417.8,105423.2,106403.6,106116.2,110149.3,113280.7
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),751.7,506.8,344.0,616.0,539.3
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",149.4,160.5,227.6,274.2,195.6,240.8,218.1,320.2,533.4,323.3,312.2,181.6,593.6,368.4,162.6,429.1,(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),137.6,136.4,192.8,217.6,(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),127.9,139.7,143.2,158.1,207.3
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),119.3,135.7,139.8,156.4,(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),0.4,0.7,0.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1549.3,1432.2,1483.8,1550.1,1566.7
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3895.3,3758.1,3800.7,4039.9,4116.2
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",17959.5,19325.1,20094.6,22754.9,21335.0,22489.9,25708.3,27804.6,26009.5,27759.5,26041.3,(D),25927.4,25878.6,22445.0,22287.5,22720.8
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6859.7,6928.7,6801.3,6630.1,6997.5
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),103.5,92.3,111.8,103.4,119.1,(D),(D),(D),(D),(D),77.0,82.3,92.0,92.7,(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),353.6,354.7,374.3,364.6,(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),284.7,284.9,369.3,426.5,(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),813.8,793.5,716.8,(D),(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),710.9,659.9,737.6,751.3,(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),104.5,84.7,80.3,83.0,(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1575.9,(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),853.2,824.1,(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),157.0,158.5,158.8,171.2,(NA)
 "26900" ,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),424.0,498.2,449.7,460.3,(NA)
