GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",20184.9,21120.1,20962.4,21523.4,22240.4,23018.8,23414.2,22951.5,21514.3,22625.0,22837.9,23612.3,23847.0,24072.4,24909.9,25792.5,26079.2
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",17160.1,17972.1,17837.9,18375.6,19015.1,19705.4,19919.0,19322.5,18003.7,19001.0,19269.8,19890.7,20068.9,20252.2,21079.5,21848.8,22160.1
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",569.6,791.6,555.5,471.2,339.4,490.3,349.6,68.2,107.1,147.9,80.6,109.5,121.0,95.6,113.1,88.4,(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),131.7,63.4,80.1,118.7,192.1
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),47.3,18.4,19.3,21.3,(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),207.3
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",1239.4,1081.4,1102.0,1166.5,1169.3,1097.3,1063.1,1013.8,908.8,853.2,821.1,885.9,945.9,1010.1,1134.7,1189.8,1190.8
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",3112.3,3402.6,3600.4,3846.9,4136.1,4534.5,4567.0,4201.9,3392.4,4222.8,4338.9,4560.1,4509.2,4686.8,4520.1,4710.2,4797.8
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3473.4,3738.2,3629.7,3798.4,3766.1
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19.3,21.3,21.1,18.4,(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),112.4,107.1,100.2,(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18.5,(D),(D),16.1,(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",200.7,(D),(D),(D),221.4,(D),(D),(D),(D),(D),(D),(D),213.0,219.0,214.8,(D),(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),296.0,328.6,317.3,267.3,(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),766.0,974.8,937.2,1149.2,(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),203.7,183.3,156.4,128.2,(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),158.2,149.8,125.1,(D),(NA)
 "30460" ,"Lexington-Fayette, KY (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),51.7,58.3,66.1,58.7,(NA)
