GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",22625.7,23622.6,23861.7,24106.7,24601.9,25216.8,24687.3,25209.7,23960.0,24849.7,25293.5,28564.1,26755.9,26411.2,26215.5,26483.2,25759.3
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",17766.7,18818.4,19052.0,19333.2,19885.4,20654.9,20206.9,20763.7,19550.0,20619.0,21188.5,24518.3,22701.8,22380.4,22272.6,22596.2,21957.9
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),11.1,13.2,(D),(D),20.9,9.4,13.5,(D),11.9,(D),11.5,(D),10.5
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",4.4,6.6,6.6,8.1,8.2,9.1,5.8,4.8,5.5,5.2,8.1,6.7,6.8,5.7,7.0,6.5,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),1.9,3.0,(D),(D),15.4,4.0,5.1,(D),4.8,(D),4.4,(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),5.2,3.7,(D),(D),2.4,1.6,2.0,(D),1.1,(D),7.4,(D),3.1
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.3,0.9,0.4,(D),0.0,(L),(L),0.1,(D),(D),(D),(D),0.0,0.0,0.7,(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",21.5,20.9,14.7,6.0,(D),(D),0.1,0.7,0.3,(D),(D),(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.2,(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",353.9,354.1,319.2,288.6,290.6,305.4,(D),201.7,190.9,369.6,351.2,376.0,349.8,342.3,282.3,302.0,321.7
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",836.7,834.4,821.8,803.7,761.3,704.1,681.0,678.7,688.8,701.2,683.6,674.2,676.2,666.5,637.2,596.5,561.8
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",1331.6,990.1,1011.8,1303.5,1327.6,1760.9,1617.4,1688.7,1381.6,1915.6,1705.6,1626.0,1734.7,1738.1,1262.6,1840.4,1532.9
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",475.4,382.0,400.0,599.4,684.7,704.1,670.1,725.7,518.0,518.9,526.7,490.3,435.3,434.9,430.7,447.2,425.5
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",14.1,14.2,13.0,12.2,12.9,11.5,9.5,14.1,11.2,(D),(D),(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",61.6,23.4,22.5,22.8,18.8,11.2,14.9,27.6,26.0,28.6,24.7,22.5,24.0,20.2,19.1,19.8,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",29.8,(D),(D),(D),(D),(D),2.0,5.3,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",57.1,56.8,54.2,47.0,67.7,88.1,77.7,73.8,46.6,45.2,47.2,38.9,37.1,39.0,38.0,39.4,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",120.6,128.3,115.7,137.2,146.9,177.7,200.8,209.4,135.3,123.5,131.2,118.4,114.0,114.4,106.5,101.7,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",79.5,44.0,60.8,81.1,96.5,88.7,129.7,163.9,130.2,180.0,211.5,222.6,175.7,187.2,184.7,204.9,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",25.0,26.2,26.8,0.0,24.4,33.0,37.3,42.4,31.8,33.5,18.6,16.8,18.3,16.4,16.8,14.5,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),40.5,33.7,34.3,36.3,(NA)
