GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "29740" ,"Las Cruces, NM (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",4540.0,4760.1,5113.1,5521.5,5734.1,5786.8,5871.2,6023.9,6268.1,6378.9,6250.8,5964.5,5787.1,5876.7,6006.1,6149.9,6171.5
 "29740" ,"Las Cruces, NM (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2889.7,3062.4,3367.7,3749.1,3920.7,3933.2,3991.2,4074.0,4288.8,4410.5,4297.8,4025.6,3899.7,4030.3,4195.6,4355.1,4414.1
 "29740" ,"Las Cruces, NM (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),193.9,(D),226.1,213.5,152.6,278.4,303.5,203.6,131.9,134.3,124.4,212.2,283.6,253.9
 "29740" ,"Las Cruces, NM (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",132.0,135.3,151.7,158.8,210.2,187.6,179.0,120.9,244.2,269.4,169.5,100.5,103.6,87.8,177.0,248.6,(NA)
 "29740" ,"Las Cruces, NM (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),36.1,(D),38.0,33.7,33.4,34.2,34.0,36.9,37.4,36.2,44.7,45.1,49.2,(NA)
 "29740" ,"Las Cruces, NM (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),4.3,(D),7.5,8.8,16.1,6.4,8.7,9.9,6.5,3.4,5.6,6.4,8.5,13.0
 "29740" ,"Las Cruces, NM (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.2,0.3,0.6,1.0,3.8,0.4,(D),4.5,(D),(D),(D),(D),(D),1.8,2.3,3.7,(NA)
 "29740" ,"Las Cruces, NM (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),5.6,(D),8.7,4.6,5.1,4.4,(D),(D),(D),(D),(D),(NA)
 "29740" ,"Las Cruces, NM (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),(L),(D),(D),2.5,3.7,2.0,(D),(D),(D),0.4,0.3,(D),(D),(D),(NA)
 "29740" ,"Las Cruces, NM (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",77.1,77.2,70.8,75.3,71.8,78.3,88.9,93.4,96.6,111.7,115.2,101.6,105.2,102.5,102.1,112.6,119.6
