GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "17460" ,"Cleveland-Elyria, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",103743.4,105278.6,108070.6,110507.8,111663.4,111278.5,113306.8,110705.0,103325.3,104299.0,106486.1,108458.1,109951.8,112793.8,116058.0,117041.7,120380.2
 "17460" ,"Cleveland-Elyria, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",91475.0,93054.0,95813.9,98221.0,99593.6,99381.7,101396.9,98767.1,91637.3,92517.0,95101.0,97253.6,98987.9,101891.7,105189.3,106121.2,109399.4
 "17460" ,"Cleveland-Elyria, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "17460" ,"Cleveland-Elyria, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",150.3,260.8,155.4,169.4,227.0,203.0,158.3,124.7,164.7,136.1,98.8,112.9,96.6,123.3,220.2,411.2,(NA)
 "17460" ,"Cleveland-Elyria, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "17460" ,"Cleveland-Elyria, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "17460" ,"Cleveland-Elyria, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "17460" ,"Cleveland-Elyria, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),453.0,436.7,744.5,865.4,(NA)
 "17460" ,"Cleveland-Elyria, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),44.0,39.2,12.3,37.0,(NA)
 "17460" ,"Cleveland-Elyria, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2090.3,1902.5,1581.0,(D),(D)
 "17460" ,"Cleveland-Elyria, OH (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",4634.5,4347.0,4302.3,4351.2,4081.7,3700.7,3497.6,3217.3,2906.7,2727.6,2874.2,3051.9,3287.3,3272.3,3403.9,3439.3,3463.7
