GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",5919.0,6099.9,6292.5,6610.6,6616.5,6493.4,6391.6,6293.9,6143.0,5980.2,6061.3,6250.1,6403.4,6588.4,6853.8,7222.3,7411.9
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",5034.4,5194.1,5389.5,5708.6,5763.9,5648.5,5560.2,5447.8,5291.0,5154.0,5217.9,5422.1,5591.5,5769.9,6025.9,6376.3,6564.6
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",96.1,108.9,117.6,117.4,116.6,149.0,150.1,139.0,146.0,97.9,88.7,101.3,111.5,129.6,144.7,158.4,173.6
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",22.6,21.6,26.5,25.1,28.1,30.3,21.7,18.8,36.9,28.4,25.4,29.3,32.5,39.8,45.6,57.4,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",73.9,88.1,91.5,93.2,88.5,119.2,130.7,122.6,109.1,69.3,63.2,71.7,78.7,88.7,97.7,100.0,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",23.3,19.5,23.8,30.6,34.2,33.1,33.6,22.0,18.8,7.5,6.3,6.1,11.5,12.2,12.4,15.0,15.8
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,(L),0.1,(L),0.5,(L),0.1,(L),(L),(L),0.0,0.0,(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",23.7,19.8,24.2,31.1,34.7,33.7,34.0,22.3,18.3,(D),(D),(D),(D),(D),(D),(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(L),(L),(L),0.0,0.0,0.0,0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(NA)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",110.3,110.7,97.2,116.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",460.5,435.6,481.8,518.2,479.1,488.7,438.7,375.3,270.6,206.4,210.8,219.6,249.9,254.5,290.2,324.5,340.2
 "32780" ,"Medford, OR (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",513.1,492.5,480.6,541.3,509.3,549.7,611.6,633.2,598.7,642.9,634.1,661.9,730.9,711.6,717.7,711.2,724.8
