GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",2418.8,2462.6,2627.8,2717.0,2797.5,2825.6,2848.9,2778.9,2775.8,2675.0,2591.4,2614.8,2681.7,2730.8,2751.9,2922.0,2998.8
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2134.2,2156.5,2302.4,2389.9,2460.3,2469.3,2482.6,2407.3,2403.3,2299.4,2227.2,2259.4,2332.1,2387.8,2409.6,2579.7,2659.7
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",74.4,61.0,67.6,43.2,44.5,28.9,(D),(D),(D),117.5,(D),(D),(D),(D),(D),214.3,191.4
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",61.3,48.7,55.1,30.8,33.7,16.2,24.3,87.0,148.5,103.2,69.2,85.4,74.9,86.4,110.4,202.2,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",16.9,15.5,15.9,15.7,13.7,15.1,(D),(D),(D),14.5,(D),(D),(D),(D),(D),16.0,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",71.9,68.4,75.2,30.2,27.1,25.6,(D),(D),(D),23.1,(D),(D),(D),(D),(D),99.4,135.2
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(L),(L),0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.5,1.0,1.0,0.5,1.2,(L),0.0,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",72.4,68.8,75.6,30.4,27.1,25.7,(D),(D),(D),22.6,(D),(D),(D),(D),(D),(D),(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,(L),(L),(L),(L),(L),(L),0.1,0.1,(L),(L),0.0,(D),(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",14.7,14.5,29.2,31.4,28.2,29.1,29.1,26.7,27.1,32.9,33.0,32.8,29.2,26.3,23.5,23.1,24.1
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",246.5,250.5,255.8,259.4,240.9,215.1,191.2,179.4,138.5,143.6,148.3,162.4,165.3,166.8,158.1,164.8,201.5
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",575.2,578.6,601.5,636.9,702.1,823.2,819.1,736.4,687.2,631.3,626.7,646.9,671.0,713.3,702.0,696.5,734.2
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",235.4,228.1,242.8,271.8,274.5,312.4,302.8,259.9,176.1,157.7,175.3,169.3,194.4,198.8,200.5,183.2,194.5
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",9.0,9.3,9.5,9.6,11.6,19.3,20.9,21.0,17.3,14.1,15.0,14.7,13.0,13.5,14.1,14.1,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",43.8,35.7,39.7,34.8,34.2,33.1,33.6,37.6,26.0,23.8,23.1,23.6,52.7,56.5,55.4,34.6,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",15.7,18.7,15.4,14.4,12.6,12.7,10.5,(D),9.8,8.6,9.3,9.8,9.6,9.1,9.6,9.4,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",8.5,8.1,25.8,42.8,46.2,45.9,54.3,48.4,41.9,42.3,43.4,39.6,41.3,43.6,45.0,49.2,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",26.6,26.6,25.0,27.4,29.5,31.7,33.8,33.8,26.9,19.6,41.2,36.6,34.7,29.7,28.6,30.3,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),116.1,100.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),1.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(L),(D),(D),0.1,(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",41.8,39.8,45.1,47.1,50.2,46.6,41.8,39.4,19.0,15.5,12.6,12.7,13.4,15.3,15.9,15.6,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),3.0,3.6,3.5,(D),8.3,8.3,9.5,10.2,9.9,9.7,9.8,12.1,(D),(D),(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",335.5,346.5,354.4,359.9,423.6,506.9,513.2,474.6,511.1,473.6,451.7,477.6,477.2,514.9,501.9,513.3,539.8
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),260.8,309.9,278.9,263.6,262.5,260.6,268.2,273.9,275.7,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",0.4,0.4,(D),(D),(D),0.4,(D),0.8,0.7,0.8,0.5,0.6,0.8,0.7,0.6,0.5,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),0.6,(D),(D),0.7,0.5,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",82.3,77.5,79.0,78.5,123.3,148.8,136.7,131.3,130.7,125.1,116.9,135.4,126.1,138.3,134.9,137.8,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",(D),(D),(D),(D),(D),(D),(D),(D),29.7,(D),(D),(D),44.1,38.1,(D),44.1,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",(L),(L),0.0,0.1,0.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),32.1,28.7,32.7,35.4,27.3,25.7,23.0,19.9,31.1,52.1,33.1,36.7,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",3.8,2.7,2.9,3.9,5.2,(D),(D),10.2,11.3,11.6,12.6,13.8,12.7,12.2,14.9,16.0,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",148.7,158.1,196.7,190.0,255.2,177.4,190.8,141.4,135.8,112.1,85.5,62.5,57.4,58.9,58.0,49.0,46.1
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",35,"44-45","  Retail trade",154.0,163.7,179.4,183.3,206.8,212.6,202.3,188.4,181.3,191.3,189.8,187.0,181.9,175.0,181.7,189.8,192.5
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",36,"48-49","  Transportation and warehousing",66.9,67.5,83.6,93.9,91.2,90.4,90.7,91.1,84.7,89.3,97.8,100.3,111.8,111.5,117.8,120.2,120.8
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",37,"481","   Air transportation",(D),(D),(D),(D),(D),(D),(D),0.0,0.0,0.3,0.4,0.3,1.1,0.4,0.2,0.1,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",38,"482","   Rail transportation",0.6,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.9,0.9,1.1,1.3,1.3,1.2,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",39,"483","   Water transportation",(L),(L),(L),(L),(L),(L),(L),(L),0.1,(L),0.0,0.0,1.1,0.0,0.0,(L),(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",40,"484","   Truck transportation",38.7,38.3,39.0,39.5,37.7,37.3,35.8,35.7,33.4,34.4,36.3,36.0,37.8,38.2,41.2,42.0,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",41,"485","   Transit and ground passenger transportation",7.9,9.5,10.5,10.9,10.4,9.9,10.1,11.1,11.2,10.6,10.9,10.6,10.6,10.4,12.4,11.7,(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",42,"486","   Pipeline transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "23900" ,"Gettysburg, PA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",43,"487-488, 492","   Other transportation and support activities",9.4,10.1,11.2,12.8,12.1,10.5,8.6,8.9,9.5,(D),10.8,10.8,11.1,11.3,11.1,10.7,(NA)
