GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",4779.5,4890.8,5087.6,5237.3,5241.2,5483.6,5651.9,5795.5,5559.1,5631.2,5660.2,5931.8,6293.6,6684.6,6566.7,6374.0,6748.9
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3552.4,3611.4,3825.0,3982.9,4022.5,4268.5,4451.4,4616.2,4358.6,4399.7,4445.5,4710.9,5100.1,5493.2,5385.4,5163.9,5545.5
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),54.9,25.7,55.3,21.6,(D),(D),(D),(D),(D),(D),(D),(D),115.8
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",48.4,25.2,42.8,47.6,42.5,15.3,43.2,12.4,21.0,56.7,43.0,14.6,64.6,57.7,40.8,111.8,(NA)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),10.6,9.9,9.3,9.6,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",425.4,416.6,541.8,568.3,547.2,625.4,621.5,685.9,542.3,(D),547.5,693.8,861.5,1099.2,1085.0,772.9,1056.7
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),671.5,(NA)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18.1,(NA)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),108.5,188.6,187.8,223.2,139.4,155.4,185.4,214.9,209.3,206.3,130.8,81.0,(NA)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),144.7,152.5,145.1,171.4,172.0,(D),(D),(D),134.0,144.5,163.6,174.1,182.0,180.4,(D)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",253.0,267.7,271.5,269.1,277.6,271.2,292.6,353.9,353.7,315.5,315.3,330.1,348.2,357.3,338.8,304.2,275.2
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",228.5,227.4,211.2,256.6,287.9,307.9,346.2,316.0,279.9,295.7,308.1,329.7,355.4,345.3,332.3,317.5,317.4
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),136.8,141.5,152.0,163.4,175.4,165.7,158.2,152.7
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),18.3,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.6,(D),0.4,0.4,0.9,1.3,(NA)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),52.5,38.3,(D),(D),(D),55.2,(D),(D),(D),(NA)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),25.3,21.9,26.0,(D),38.1,31.8,(NA)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),6.0,6.4,9.2,9.6,12.1,10.6,12.3,5.0,(D),(D),(D),6.3,6.2,6.6,4.5,(NA)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),11.1,(D),(D),(D),(D),(D),(D),(NA)
 "10180" ,"Abilene, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
