GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41660" ,"San Angelo, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",3744.2,3773.9,3774.8,3765.4,3934.0,3971.7,4056.9,4273.4,4151.8,4176.1,4043.6,4126.0,4379.0,4853.1,4812.0,4679.2,4674.7
 "41660" ,"San Angelo, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",2943.8,2972.1,2972.2,2972.5,3160.5,3205.6,3310.9,3521.4,3357.2,3344.5,3201.8,3274.5,3555.8,4043.5,4000.1,3837.1,3833.3
 "41660" ,"San Angelo, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),36.9,63.3,85.5,74.0,42.5,(D),60.5,62.1,86.0,85.4
 "41660" ,"San Angelo, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",39.5,32.3,44.7,40.3,49.9,30.1,43.1,24.4,53.0,73.8,62.9,32.7,55.9,48.8,49.8,73.8,(NA)
 "41660" ,"San Angelo, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),13.4,10.3,11.6,11.2,11.5,(D),12.8,13.5,14.2,(NA)
 "41660" ,"San Angelo, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),302.0,251.2,320.5,477.3,507.8,594.7,408.2,335.1,189.6,287.6,341.2,675.4,649.0,580.2,544.0
 "41660" ,"San Angelo, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41660" ,"San Angelo, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),5.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41660" ,"San Angelo, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),167.7,74.4,(D),(D),(D),(D),(D),(D),142.2,(NA)
 "41660" ,"San Angelo, TX (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",70.3,71.2,71.1,77.4,68.4,69.7,133.3,156.8,151.8,145.9,136.4,90.0,100.2,(D),(D),(D),(D)
