GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "13980" ,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",5056.7,5091.6,5368.4,5400.8,5628.5,5803.9,6063.3,5641.6,5421.9,5485.6,5563.4,5986.0,5926.1,6062.5,6142.9,6098.7,6134.1
 "13980" ,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",3812.9,3844.3,4144.6,4159.6,4334.1,4508.4,4760.1,4306.9,4084.7,4124.0,4213.5,4575.3,4496.5,4620.2,4654.3,4577.3,4587.7
 "13980" ,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17.9,25.1,28.3,12.7,10.8
 "13980" ,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",28.0,36.1,24.1,24.8,25.9,12.7,1.2,3.8,8.2,7.8,14.1,13.3,11.9,18.2,20.8,5.1,(NA)
 "13980" ,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6.2,6.6,7.2,7.2,(NA)
 "13980" ,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7.5,13.0,10.9,10.6,12.5
 "13980" ,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",0.6,0.7,1.4,2.7,1.0,0.6,0.4,0.3,0.2,0.1,0.1,(L),0.1,0.1,0.1,0.1,(NA)
 "13980" ,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "13980" ,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",0.3,(D),(D),0.6,0.1,0.1,(L),0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(NA)
 "13980" ,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),56.9,51.7,48.0,44.9,40.1
