GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",1,"...","All industry total",7759.1,8137.7,8369.4,8766.8,9305.6,9525.4,9620.5,9708.2,9754.3,10075.3,10175.7,10450.6,10397.7,10785.7,11190.3,11247.3,11510.4
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",2,"..."," Private industries",5516.2,5817.0,5997.7,6312.2,6718.3,6995.3,7074.0,7096.8,7113.8,7398.3,7432.0,7649.0,7618.4,7965.9,8198.0,8190.9,8410.1
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),41.0,46.9,47.6,36.2,32.6
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",4,"111-112","   Farms",15.8,12.9,5.5,14.1,14.6,10.2,4.8,9.2,18.3,22.5,17.5,27.3,15.2,18.0,18.6,7.3,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26.8,30.0,29.9,29.1,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),42.3,46.0,(D)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),33.1,38.5,40.4,(D),(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),161.4,(D),(D),167.5
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",11,"23","  Construction",545.7,540.6,557.6,578.6,593.1,579.1,568.0,510.5,443.8,438.4,428.3,440.4,415.4,396.2,433.6,402.4,419.4
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",12,"31-33","  Manufacturing",(D),(D),(D),474.5,491.7,537.7,533.3,499.6,529.9,560.3,512.6,(D),(D),(D),670.8,699.6,(D)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),327.1,367.3,334.7,345.2,327.2
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),22.5,19.7,23.0,18.6,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),20.7,14.7,14.1,14.3,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",16,"331","    Primary metal manufacturing",0.3,0.2,0.1,0.0,(D),(D),(D),(D),0.0,(L),(L),(L),0.0,(L),0.0,0.2,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6.6,8.6,8.0,9.1,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16.2,15.4,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),179.5,199.4,190.6,206.9,(D),(D),(D),(D),(D),(D),228.7,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.4,(D),(D),(D),(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.8,(D),(D),(D),(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5.5,4.9,2.9,(D),(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6.0,7.2,8.7,15.2,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),34.5,37.9,41.5,37.0,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),331.0,348.3,(D)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),83.8,(D),(D),(D),(D),(D),(D),(D),(D),289.8,298.4,(D),323.0,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),9.3,11.0,12.3,(D),(D),(D),(D),(D),(D),1.0,0.8,0.8,0.8,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),1.1,0.9,(D),(D),1.9,1.7,1.6,1.5,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.2,(D),(D),(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",30,"323","    Printing and related support activities",(D),(D),(D),(D),(D),9.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),7.2,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",31,"324","    Petroleum and coal products manufacturing",4.2,1.6,3.8,2.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15.6,15.4,17.0,14.4,(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(D),(D),(D),(NA)
 "16820" ,"Charlottesville, VA (Metropolitan Statistical Area)", ,MAGDP9,"Real GDP by metropolitan area","Millions of chained 2009 dollars",34,"42","  Wholesale trade",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),217.3,254.8,246.6,(D),243.2
