GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",25349.9,25565.3,27521.5,27885.2,29841.3,31908.0,34421.1,35354.1,34035.7,34659.8,34893.9,36720.1,36146.6,36380.5,36480.6,37259.9,39033.8
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",20818.9,20836.8,22530.0,22610.1,24164.4,25890.3,28117.8,28515.3,27362.4,27572.5,27562.5,29049.6,28421.1,28655.9,28675.1,29446.0,30997.7
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",24.0,(D),(D),(D),60.5,54.2,34.8,35.5,34.3,44.7,60.8,56.3,67.3,68.6,42.4,53.9,(D)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",16.9,27.2,37.6,49.4,52.1,50.1,29.6,29.9,25.4,33.5,51.6,47.3,60.0,61.8,36.7,48.7,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",7.1,(D),(D),(D),8.4,4.1,5.1,5.5,8.9,11.3,9.3,9.0,7.3,6.7,5.7,5.2,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",270.7,(D),(D),(D),575.5,847.4,894.6,952.3,1056.0,1531.8,1979.7,1997.0,1674.2,1563.2,1041.8,642.1,747.5
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.5,1.2,3.8,11.4,31.5,29.7,14.1,3.8,1.4,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",266.5,(D),(D),(D),569.7,841.8,890.0,941.6,1048.9,(D),1915.3,1912.4,1596.9,1517.0,1020.0,633.3,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",4.0,2.9,4.3,4.4,5.5,5.3,4.4,10.1,5.9,(D),53.0,53.1,47.6,32.1,18.0,7.3,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",452.8,416.9,486.5,621.2,605.4,691.9,711.1,698.2,796.0,851.6,881.4,852.2,766.2,938.7,748.7,772.7,815.3
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",1254.9,1279.5,1399.6,1590.7,1774.3,2009.3,2058.0,1805.1,1796.6,1298.9,1237.1,1180.6,1301.1,1369.0,1350.6,1425.2,1539.0
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",4308.3,3450.0,4077.5,3461.5,3438.0,3438.9,4398.3,4053.6,3331.8,3591.1,3247.5,3925.4,3496.4,3703.4,3713.9,4266.7,4429.6
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",4074.2,(D),(D),(D),3260.9,3209.7,4085.5,3697.5,2956.7,3246.7,2925.5,3594.5,3232.3,3414.2,3417.1,3968.3,4121.9
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",22.7,21.7,29.1,36.3,46.2,45.4,41.4,36.5,30.3,20.6,17.9,19.3,23.6,20.5,13.8,13.9,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",76.8,70.1,85.3,96.8,110.1,140.4,176.3,122.7,76.1,80.7,63.8,49.0,73.7,80.2,84.8,93.8,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",14.8,13.2,7.6,9.8,6.2,11.8,36.8,23.6,12.7,10.9,27.8,20.4,17.9,13.7,(D),(D),(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",183.3,198.4,187.3,221.5,217.2,209.0,212.0,215.4,191.3,182.6,201.6,226.7,229.4,220.7,231.1,226.4,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",75.4,92.8,113.2,113.0,149.4,156.1,166.9,125.7,133.4,160.3,121.3,85.8,126.3,93.9,107.6,113.4,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",886.6,1186.4,1460.3,1182.3,634.4,530.7,658.0,573.5,307.0,(D),(D),(D),526.0,529.6,503.3,567.9,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",38.7,64.9,64.8,50.9,59.6,76.4,83.3,96.3,95.4,93.2,77.6,82.3,68.3,82.7,97.9,94.2,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),23.1,22.6,19.1,(D),(D),(D),(D),(D),6.1,17.1,25.1,13.2,14.2,(D),29.9,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1940.9,2154.5,2156.6,2644.3,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",30.7,18.8,21.6,20.5,23.4,26.0,25.1,23.6,19.9,17.7,17.9,20.5,33.4,41.4,44.5,(D),(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",139.3,154.2,177.9,145.0,151.3,166.9,178.9,165.2,165.1,162.1,150.8,146.2,179.7,162.8,153.5,128.0,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",234.0,(D),(D),(D),177.0,229.2,312.8,356.1,375.2,344.5,322.0,330.9,264.1,289.2,296.8,298.4,307.8
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",67.9,68.2,66.6,54.8,(D),73.0,102.3,126.2,122.1,109.0,100.4,107.5,100.0,137.1,142.5,150.9,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),3.2,2.5,2.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",10.6,8.2,7.1,1.1,1.2,2.2,1.1,3.8,2.2,7.2,8.6,(D),5.4,0.9,0.7,0.7,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",5.9,(D),(D),(D),(D),(D),7.8,7.4,(D),8.8,9.8,7.4,11.1,7.0,(D),(D),(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",41.1,43.4,43.5,46.9,56.8,60.0,52.8,45.9,49.5,51.8,53.8,50.8,48.2,43.2,46.2,47.5,(NA)
 "46060" ,"Tucson, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
