GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "49740" ,"Yuma, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3431.3,3776.2,4004.1,4585.7,4778.4,5098.8,5368.9,5309.1,5208.3,5551.2,5933.7,5669.8,6004.8,5886.8,6357.1,6870.2,7095.4
 "49740" ,"Yuma, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2533.5,2859.6,2997.5,3486.2,3595.3,3814.0,3972.7,3784.3,3619.9,3875.9,4177.7,3875.4,4234.4,4131.4,4548.4,4977.6,5168.7
 "49740" ,"Yuma, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),828.3,812.0,(D),(D),761.8,660.7,971.1,1241.5,857.7,1193.8,1005.0,1279.1,1503.3,(D)
 "49740" ,"Yuma, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",349.5,502.4,360.5,545.4,514.9,418.8,525.5,395.2,307.9,578.8,842.1,462.5,814.4,575.6,817.5,1019.5,(NA)
 "49740" ,"Yuma, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),282.9,297.1,(D),(D),366.6,352.8,392.2,399.4,395.2,379.4,429.4,461.6,483.8,(NA)
 "49740" ,"Yuma, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),2.2,4.4,(D),(D),3.5,4.5,5.2,4.9,7.7,3.6,4.5,4.1,6.1,(D)
 "49740" ,"Yuma, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),0.0,(L),0.0,0.0,0.0,(L),(L),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49740" ,"Yuma, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),2.2,4.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49740" ,"Yuma, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),0.0,(L),0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "49740" ,"Yuma, AZ (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",31.6,32.0,32.7,39.7,38.2,46.5,45.6,41.9,45.8,50.5,51.3,44.3,46.2,49.8,54.5,53.1,53.1
