GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",8355.2,9015.4,9213.8,9531.8,9891.6,10359.2,11059.6,11091.3,11460.8,11970.5,12244.6,13004.1,14113.6,14314.9,15085.7,15988.3,17164.0
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",6932.5,7481.4,7654.5,7907.6,8187.0,8636.6,9344.5,9272.0,9599.2,10089.7,10361.8,11060.0,11740.5,11837.9,12438.1,13213.5,14292.6
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",30.6,16.6,9.2,41.5,40.0,38.5,57.1,48.5,43.7,57.8,62.0,60.1,68.3,77.3,69.1,60.2,60.3
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",27.6,13.8,5.0,35.8,33.9,30.6,49.6,38.1,32.3,49.1,53.1,50.0,56.8,65.6,57.5,50.8,(NA)
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",3.0,2.8,4.2,5.7,6.1,7.9,7.4,10.5,11.4,8.7,8.9,10.0,11.5,11.7,11.6,9.4,(NA)
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",32.5,37.1,47.9,54.1,88.3,93.5,96.5,90.4,76.7,82.5,100.6,102.4,120.6,128.6,97.3,101.6,114.9
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",3.7,3.8,5.7,6.0,14.9,15.5,16.9,28.3,22.4,30.6,44.6,(D),42.4,25.0,7.4,25.1,(NA)
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",27.4,32.3,40.9,43.7,67.8,68.4,70.2,55.7,48.9,45.8,45.7,(D),54.3,60.8,56.4,51.6,(NA)
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",1.4,1.1,1.3,4.5,5.6,9.6,9.4,6.4,5.5,6.1,10.2,(D),23.9,42.9,33.5,24.9,(NA)
 "22660" ,"Fort Collins, CO (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",39.1,40.7,41.3,49.5,44.3,46.3,55.8,54.7,65.9,74.8,80.4,83.7,86.9,104.3,88.3,96.0,100.6
