GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "14860" ,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",62199.9,62606.5,64908.5,68969.7,74407.2,77904.8,86986.1,88721.3,83664.4,85354.0,85400.7,90440.8,92545.2,95656.3,96895.7,99282.1,98256.4
 "14860" ,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",59136.1,59341.8,61480.6,65274.8,70551.6,73938.4,82801.7,84385.7,79276.4,80830.4,80807.5,85799.4,87787.3,90804.0,91789.9,94141.6,93130.0
 "14860" ,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),22.3,21.1,23.7,30.0,35.4,38.6,25.1,24.4,25.7,20.8,24.1,33.0,27.5,30.3,28.1,27.4
 "14860" ,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",16.6,15.7,16.6,20.0,23.9,26.6,30.4,17.4,16.0,16.1,11.5,15.6,24.8,16.5,15.8,11.2,(NA)
 "14860" ,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),6.6,4.5,3.8,6.0,8.8,8.2,7.7,8.3,9.6,9.3,8.5,8.2,11.0,14.4,16.9,(NA)
 "14860" ,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),3.0,4.4,7.7,4.2,5.3,6.6,145.8,391.3,255.1
 "14860" ,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(D),0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "14860" ,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",54.6,(D),(D),49.7,67.2,61.2,56.1,0.0,0.0,0.0,(D),(D),(D),(D),(D),(D),(NA)
 "14860" ,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),0.8,(D),1.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "14860" ,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",641.0,603.7,755.2,1046.5,1335.1,1870.5,2164.7,2539.1,(D),(D),(D),(D),2851.2,3254.2,2838.1,2522.6,2559.8
 "14860" ,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",1735.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2080.9,2127.6,2290.5,2473.9,2547.4
 "14860" ,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",7194.3,8399.5,8192.7,9409.3,9874.0,9582.7,14251.3,18923.4,12156.9,11060.7,10187.7,9745.3,9903.8,9783.0,9413.3,8699.3,8698.3
 "14860" ,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),3464.0,3667.7,3600.9,3727.6,4052.7,4093.9,4167.0,4403.4,4704.7,4541.5,4732.2,4835.6,4963.8,4751.1,4260.0,4040.8
