GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",40164.1,42889.1,46108.4,49057.9,53769.6,58688.4,60260.9,57532.2,55554.5,56380.5,56360.3,58519.2,62166.0,64001.1,68810.2,72727.3,76649.6
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",34166.8,36489.7,39034.7,41408.0,46278.7,50821.1,51791.4,49126.3,47133.9,47679.9,47641.6,49873.9,53659.5,55503.6,60166.5,64024.0,67752.0
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",263.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),144.4,(D),143.7,145.9
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",132.5,112.7,115.3,131.6,119.4,104.0,121.8,112.1,84.1,103.9,74.3,59.3,65.8,60.3,69.4,64.0,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",131.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),84.1,(D),79.7,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",22.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),11.5,(D),50.5,76.6
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(D),(D),(D),(D),0.1,0.2,1.1,0.9,0.9,(D),(D),(D),(D),(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),21.6,45.1,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),586.7,780.4,(D),(D),(D)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",(D),2551.0,3094.6,3695.5,4289.6,4602.3,(D),(D),(D),2208.7,1887.7,2176.7,2431.8,2829.9,3318.7,3745.2,4276.3
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",(D),3134.4,3158.2,3257.3,3327.1,3639.5,3974.7,3721.4,3862.5,3540.0,3472.0,3703.5,4029.3,4128.8,4528.2,4717.8,4957.1
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2311.6,(D),2761.2
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),72.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),81.0,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),100.5,103.4,97.6,392.8,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",199.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),157.2,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),60.0,74.5,(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),123.6,155.7,154.3,154.2,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),25.2,(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),436.8,373.6,(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),43.8,45.3,48.7,47.5,(D),(D),(D),(D),(D),42.6,41.5,(D),52.2,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",546.2,568.0,601.0,(D),492.0,(D),(D),(D),730.7,604.6,550.3,(D),722.1,767.5,740.7,551.4,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2216.7,(D),2195.9
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),788.0,(D),(D),1027.4,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5.5,7.6,(D),8.7,10.4,11.3,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),435.8,417.0,474.1,407.9,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",(D),96.8,97.8,103.6,94.8,(D),(D),90.0,(D),(D),74.7,(D),94.1,100.0,108.4,107.5,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",37.9,39.5,52.7,61.6,77.0,(D),(D),(D),(D),(D),(D),(D),63.4,113.6,129.3,(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),443.4,402.9,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),94.8,103.4,105.8,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",2871.7,2868.0,(D),3673.8,3986.0,(D),(D),(D),(D),(D),(D),4588.6,4734.1,4683.0,(D),(D),(D)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",35,"44-45","  Retail trade",3188.2,3333.3,3582.5,3690.0,4087.7,4297.0,4162.7,4030.8,3897.4,4002.9,3871.3,4051.1,4200.8,4245.4,4612.1,4898.4,5204.1
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",36,"48-49","  Transportation and warehousing",(D),(D),(D),(D),(D),(D),(D),2711.3,2585.9,2701.0,2725.8,2831.1,2955.8,3094.5,(D),3389.4,3601.9
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",37,"481","   Air transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),74.0,71.4,(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",38,"482","   Rail transportation",423.9,431.4,(D),(D),(D),(D),496.3,521.4,451.3,434.3,(D),596.7,(D),633.6,626.0,605.2,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",39,"483","   Water transportation",(D),(D),(D),(D),165.5,229.8,(D),(D),(D),(D),(D),(D),417.2,368.9,339.8,474.4,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",40,"484","   Truck transportation",490.5,491.0,495.2,575.8,670.4,660.2,665.1,620.8,558.0,560.6,598.5,(D),689.2,691.8,768.8,758.4,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",41,"485","   Transit and ground passenger transportation",(D),(D),(D),(D),(D),(D),(D),136.2,(D),(D),(D),(D),135.9,144.5,(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",42,"486","   Pipeline transportation",(D),(D),(D),(D),(D),(D),(D),(D),0.5,0.2,0.7,0.7,1.1,0.7,0.2,0.2,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),920.4,991.9,(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",44,"493","   Warehousing and storage",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),263.1,263.1,276.7,290.1,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",45,"51","  Information",1209.4,1146.9,1183.9,1556.9,1927.4,2192.8,2095.8,2027.0,2109.3,2223.6,2035.0,1948.3,2029.0,2081.3,2262.0,2646.1,2699.8
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",46,"511","   Publishing industries (except Internet)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",47,"512","   Motion picture and sound recording industries",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),62.7,(D),(D),51.5,55.5,(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1168.0,1119.8,1208.3,1471.0,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",49,"518, 519","   Data processing, hosting, and other information services",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",8820.6,10139.5,10499.3,10379.7,12290.6,13729.1,13381.4,12073.0,11843.2,11812.5,12091.9,12502.6,14263.2,14361.6,16450.5,17732.6,(D)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",51,"52","   Finance and insurance",4134.0,4454.4,4520.1,4482.0,4906.6,5244.0,5432.4,5088.8,4948.4,5215.4,5563.8,6154.3,6204.8,6498.4,7065.1,7261.5,8087.0
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",53,"523","    Securities, commodity contracts, and other financial investments and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),784.8,(D),996.5,994.6,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",54,"524","    Insurance carriers and related activities",1738.1,1750.1,(D),(D),(D),2271.6,2440.3,2290.7,(D),2357.9,(D),(D),(D),(D),(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",55,"525","    Funds, trusts, and other financial vehicles",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",56,"53","   Real estate and rental and leasing",4686.7,5685.0,5979.2,5897.8,7384.0,8485.1,7949.0,6984.2,6894.8,6597.1,6528.1,6348.3,8058.4,7863.3,9385.4,10471.0,(D)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",57,"531","    Real estate",(D),4356.2,(D),(D),(D),7427.4,(D),6145.9,(D),(D),(D),(D),(D),6810.0,8121.7,9229.2,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets",(D),1328.8,(D),(D),(D),1057.7,(D),838.4,(D),(D),(D),(D),(D),1053.3,1263.7,1241.8,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",59,"54, 55, 56","  Professional and business services",4376.2,4639.1,5061.9,5373.5,5967.8,6548.5,7124.1,6717.6,6301.4,6651.0,6925.5,7297.6,7547.1,8034.3,8260.6,8499.8,8965.8
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",60,"54","   Professional, scientific, and technical services",(D),(D),2580.7,2804.3,3129.5,(D),(D),(D),(D),3542.3,3664.5,3902.4,4133.4,4333.5,4393.9,4544.0,4767.1
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",64,"55","   Management of companies and enterprises",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),819.8,870.9,847.5,884.5,905.5,916.6,985.2
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",65,"56","   Administrative and support and waste management and remediation services",1677.3,1607.7,(D),(D),(D),2191.0,2354.6,2272.9,(D),(D),2441.2,2524.4,2566.2,2816.3,2961.2,3039.2,3213.6
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",66,"561","    Administrative and support services",(D),(D),(D),(D),1990.4,(D),2194.7,2121.3,2004.4,2198.9,2297.4,(D),2433.5,(D),2810.9,2865.4,(NA)
 "27260" ,"Jacksonville, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",67,"562","    Waste management and remediation services",(D),(D),(D),(D),(D),(D),159.9,151.6,(D),(D),143.8,(D),132.6,(D),150.3,173.8,(NA)
