GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",9969.0,10331.7,10860.2,11625.7,12049.8,12553.2,13552.1,13488.9,13376.6,13429.7,13434.8,13940.6,14145.5,14434.3,14829.8,15406.7,16164.3
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",6415.9,6674.6,7025.9,7606.4,8283.6,8673.3,9146.4,9081.6,8769.8,8692.8,8759.8,9171.9,9313.6,9515.3,9973.5,10460.9,11064.9
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),113.2,(D),(D)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",92.5,83.1,82.5,90.1,81.5,84.2,72.8,89.1,67.0,83.0,70.7,77.8,76.8,86.8,80.9,88.2,(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),32.3,(D),(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),17.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),64.8,(D),(D)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.2,1.1,3.2,0.8,0.1,0.4,(D),(D),(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),21.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),64.1,61.2,(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),108.3,(D),104.7,119.3,124.3
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",498.3,541.0,(D),658.1,745.3,742.1,757.5,716.4,607.9,466.7,468.9,785.6,509.2,538.0,509.8,576.8,603.2
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",379.6,319.1,321.5,331.8,355.0,359.9,407.3,433.1,385.2,413.3,360.6,338.5,381.7,348.6,402.9,422.9,423.0
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),208.9,214.1
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",21.4,20.6,(D),(D),(D),(D),(D),(D),(D),(D),35.6,30.6,(D),(D),(D),29.4,(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(L),0.0,0.0,0.0,(L),(L),0.0,(L),0.0,0.0,0.0,(D),(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",(D),35.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),21.2,23.8,24.6,(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),38.6,47.6,(D),(D),(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19.3,21.9,24.6,22.1,(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.8,(D),(D),(D),(D),(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),10.0,6.1,6.9,6.6,(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15.5,(D),(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),214.0,208.9
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9.6,11.3,(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.7,2.7,2.2,(D),(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",0.0,0.0,0.0,3.0,0.1,0.0,0.3,0.1,(D),(D),(D),0.0,0.2,(L),0.2,0.2,(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19.5,(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45220" ,"Tallahassee, FL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),175.7,(NA)
