GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",6471.2,6696.0,6519.5,5602.9,5694.1,5741.2,5768.7,5458.8,5112.5,4957.1,5113.1,5281.3,5489.8,5916.3,6209.5,6608.5,6668.1
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",6108.0,6305.5,6101.7,5179.6,5247.9,5279.1,5286.3,4991.9,4629.7,4467.6,4634.6,4798.9,5006.8,5440.9,5704.9,6088.7,6128.2
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),34.7,57.9
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",38.5,25.5,23.7,34.3,26.6,0.5,10.6,27.4,22.0,17.9,8.2,41.1,54.8,64.0,57.1,30.1,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4.5,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),23.5,25.4
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),0.0,0.0,0.0,(L),(L),(L),(L),(L),0.0,0.0,0.0,0.0,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),23.0,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),0.0,0.0,0.0,0.0,0.0,(L),(L),0.0,(L),0.1,0.1,0.3,0.5,0.5,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",105.4,106.1,110.4,104.3,116.9,123.9,127.7,108.9,89.3,79.8,62.5,71.4,69.5,81.3,96.3,101.1,115.8
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",3711.7,3866.4,3408.2,2434.3,2590.6,2598.8,2662.4,2301.0,2083.4,1826.3,1950.9,1965.8,2015.6,2405.9,2588.9,2805.9,2887.7
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",282.8,294.3,301.0,155.4,144.4,156.1,155.2,134.1,107.1,109.0,110.6,112.4,135.3,173.0,159.0,192.2,200.2
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",50.3,51.7,48.1,17.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),8.3,(D),19.2,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9.5,3.9,3.6,4.9,5.5,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",0.1,0.3,0.0,0.0,(L),(L),0.2,0.8,0.4,0.0,1.0,(D),(D),(D),(D),(D),(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",(D),15.7,18.4,15.6,11.7,13.1,15.2,(D),13.3,15.9,4.5,(D),(D),(D),(D),(D),(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",41.5,36.3,38.0,46.8,46.6,51.7,56.6,50.2,41.2,41.2,36.6,38.7,45.6,54.2,50.7,(D),(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.4,(D),(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",0.1,0.3,0.0,(L),0.0,(L),(L),(L),0.0,0.0,2.3,2.0,0.4,1.1,0.1,0.2,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),21.5,21.6,18.9,14.6,(D),(D),(D),(D),15.9,23.6,26.7,31.6,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),4.1,(D),(D),(D),(D),(D),(D),(D),(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",3428.9,3572.2,3107.2,2278.9,2446.1,2442.8,2507.3,2167.0,1976.4,1717.3,1840.3,1853.4,1880.3,2232.9,2430.0,2613.7,2687.5
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),88.9,49.5,34.4,(D),(D),(D),(D),(D),(D),(D),(D),93.9,131.8,167.7,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),2092.1,1746.7,1529.4,1214.5,1327.4,(D),(D),1662.4,(D),1849.7,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.1,0.2,0.0,0.0,(D),(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",130.4,122.7,116.4,91.4,78.1,79.2,97.1,93.1,64.0,74.1,65.8,68.9,78.8,89.7,97.7,99.9,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),248.4,290.7,302.5,253.1,253.6,275.1,297.8,320.8,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),21.4,17.3,30.2,32.4,23.8,18.6,29.2,44.5,44.5,39.6,48.4,48.7,72.9,76.6,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",(D),(D),(D),(D),(D),(D),(D),454.0,389.3,(D),(D),478.1,479.5,482.4,536.2,603.9,549.0
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",35,"44-45","  Retail trade",268.0,275.9,300.4,370.1,390.9,418.7,414.5,396.2,385.3,402.1,393.8,397.9,400.5,430.9,455.6,502.0,426.7
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",36,"48-49","  Transportation and warehousing",152.4,177.7,(D),250.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",37,"481","   Air transportation",0.0,0.0,0.0,0.0,(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.4,0.1,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",38,"482","   Rail transportation",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.7,0.5,0.4,0.2,0.3,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",39,"483","   Water transportation",0.1,0.0,(L),0.1,0.1,0.1,(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",40,"484","   Truck transportation",85.0,100.1,138.9,151.3,126.3,121.8,107.9,116.3,(D),124.4,133.4,138.6,130.6,137.0,153.4,160.2,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",41,"485","   Transit and ground passenger transportation",(D),(D),1.7,(D),(D),(D),(D),(D),(D),(D),(D),1.5,1.6,1.8,(D),(D),(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",42,"486","   Pipeline transportation",(L),(L),(L),(L),(L),(L),(L),0.1,0.2,0.1,0.3,0.9,4.2,4.1,3.4,1.3,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),27.8,28.3,28.0,27.7,(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",44,"493","   Warehousing and storage",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),68.6,(D),(D),(D),(D),(NA)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",45,"51","  Information",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),43.2,(D),(D),(D),(D),(D),(D)
 "19140" ,"Dalton, GA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",46,"511","   Publishing industries (except Internet)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5.8,5.5,5.2,(NA)
