GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",23675.9,26432.5,29240.3,32624.8,35478.6,35480.2,39053.8,35603.1,35146.3,36286.5,37998.8,41511.1,42304.1,45299.1,50852.6,54714.1,57151.5
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",21484.9,24155.3,26840.7,30112.7,32833.7,32701.4,36123.7,32477.2,31805.6,32835.3,34510.7,37918.6,38667.3,41463.8,46844.1,50558.7,52923.0
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),392.1,285.4,(D),(D),(D)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",53.8,94.5,113.7,235.7,158.7,170.3,261.5,354.5,300.1,217.0,391.8,324.2,368.0,261.6,184.8,168.8,(NA)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),24.1,23.9,(D),(D),(NA)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),37.0,44.6,(D),(D),35.4
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),36.4,44.2,37.6,33.5,(NA)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),0.5,0.4,(D),(D),(NA)
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),212.9,213.8,234.3,406.5,425.0
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",962.2,981.9,1123.8,1378.1,1491.1,(D),1407.0,1278.9,1179.9,1145.1,1245.0,1320.7,1470.6,1758.9,1882.8,2125.0,2210.9
 "19780" ,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",1992.7,2076.7,2105.0,2316.9,2179.6,(D),2132.7,2187.3,2247.7,2370.9,2364.6,2674.0,2598.2,2712.9,2972.7,2904.6,3096.5
