GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "26980" ,"Iowa City, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",5117.9,5273.4,5551.5,5910.7,6086.2,6455.3,6820.2,7128.4,7401.3,7857.3,8285.4,8635.0,9020.4,9537.0,9785.6,10191.9,10452.3
 "26980" ,"Iowa City, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",3418.2,3510.0,3713.2,3999.7,4075.4,4324.9,4554.0,4678.6,4826.3,5195.2,5535.9,5732.2,5973.7,6296.3,6414.6,6621.6,6801.2
 "26980" ,"Iowa City, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),350.8,334.5,(D),229.6,234.5
 "26980" ,"Iowa City, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",54.5,57.5,62.8,123.6,78.4,115.6,125.7,165.7,127.9,141.2,273.7,255.2,320.3,300.8,204.2,192.5,(NA)
 "26980" ,"Iowa City, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),30.4,33.7,(D),37.2,(NA)
 "26980" ,"Iowa City, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16.8,18.7,(D),14.3,16.5
 "26980" ,"Iowa City, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "26980" ,"Iowa City, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16.5,18.4,(D),(D),(NA)
 "26980" ,"Iowa City, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.5,0.5,0.3,(L),(L),(L),0.2,0.3,0.1,0.1,0.1,0.1,0.3,0.3,(D),(D),(NA)
 "26980" ,"Iowa City, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),31.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "26980" ,"Iowa City, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",194.7,203.7,225.6,255.1,265.8,274.1,286.7,258.5,270.0,216.8,236.5,269.3,309.4,330.6,355.7,383.6,394.7
 "26980" ,"Iowa City, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",598.0,639.9,633.8,601.7,547.2,536.8,518.6,601.7,701.1,1011.7,999.5,1004.1,1056.5,987.2,906.4,854.7,822.6
 "26980" ,"Iowa City, IA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",149.2,140.9,151.9,223.5,(D),(D),225.5,226.2,207.7,300.2,314.5,397.9,310.9,322.5,318.4,261.4,232.0
