GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",6617.9,7000.5,7320.5,7634.2,7797.5,8234.6,8641.3,9343.5,9889.0,10334.2,10422.5,10979.5,11096.2,11333.8,11677.3,11956.9,12177.5
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",4884.5,5111.5,5366.1,5555.1,5622.0,5951.6,6268.5,6860.7,7304.7,7629.9,7713.4,8169.3,8179.7,8321.0,8617.8,8914.3,9081.2
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",95.4,148.2,153.1,227.6,102.1,194.6,270.8,408.5,299.7,334.2,447.5,360.2,488.1,316.3,161.9,199.7,(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),3.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(L),0.2,0.1,(L),0.1,0.2,0.1,0.1,0.4,0.7,0.7,0.7,0.6,0.6,(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),0.0,(D),(D),(D),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),102.2,101.7,102.1,113.2,116.4
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",329.4,334.7,354.2,342.0,363.5,340.1,358.4,385.3,351.0,396.1,421.7,376.5,372.3,369.3,398.5,417.0,422.3
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",804.9,822.2,904.0,902.1,881.0,897.6,885.1,855.3,841.7,808.7,868.0,969.1,939.2,931.2,984.2,947.5,939.2
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",365.5,(D),(D),446.0,409.6,(D),(D),(D),(D),(D),(D),(D),355.4,356.0,361.0,383.9,382.9
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),38.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),20.6,14.6,(D),(D),(D),(D),(D),(D),(D),(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),64.6,62.0,63.9,62.4,57.8,62.1,65.5,67.6,(D),(D),(D),(D),(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),67.0,67.4,55.4,53.1,(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",15.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),40.5,38.3,61.2,(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.1,0.1,0.1,(D),(D),(D),(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),0.0,(L),(L),0.1,0.2,0.0,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),1.8,1.9,1.9,1.9,1.6,1.1,1.1,(D),1.2,1.2,1.0,1.0,(D),(NA)
 "16580" ,"Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
