GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "28100" ,"Kankakee, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2464.9,2633.1,2653.4,2830.5,2910.8,3056.2,3120.4,3217.1,3316.7,3372.0,3447.2,3709.6,3742.9,3827.6,4181.3,4346.0,4510.4
 "28100" ,"Kankakee, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2147.4,2295.4,2299.9,2461.0,2524.4,2662.1,2714.8,2798.4,2880.2,2916.1,2992.4,3255.2,3285.4,3359.0,3711.3,3885.4,4041.7
 "28100" ,"Kankakee, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",31.5,40.9,31.3,68.8,47.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "28100" ,"Kankakee, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",26.0,34.3,27.9,64.5,44.1,64.8,108.6,152.7,137.8,119.6,149.6,120.3,172.3,147.3,246.5,191.8,(NA)
 "28100" ,"Kankakee, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",5.5,6.7,3.3,4.3,3.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "28100" ,"Kankakee, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",10.9,11.4,9.3,7.9,7.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "28100" ,"Kankakee, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,(L),(L),(L),(L),(L),(L),(L),(L),0.1,0.2,0.1,0.2,0.2,0.2,(NA)
 "28100" ,"Kankakee, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",10.9,11.4,9.3,7.9,7.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "28100" ,"Kankakee, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),0.0,0.0,0.0,0.0,0.1,(NA)
 "28100" ,"Kankakee, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",16.1,19.8,19.7,19.4,19.9,25.0,29.0,30.6,35.5,37.0,37.0,34.7,38.1,38.1,38.8,42.9,39.4
 "28100" ,"Kankakee, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",138.4,135.6,139.5,149.8,159.0,156.3,168.2,158.0,129.9,133.5,134.5,123.4,131.2,132.0,132.2,142.6,145.6
 "28100" ,"Kankakee, IL (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",577.2,602.1,574.6,626.4,582.4,627.0,601.6,617.0,700.4,695.8,741.2,887.1,863.4,905.4,986.8,1177.5,1359.4
