GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",9300.2,9795.0,10314.6,10862.1,11147.7,11639.1,11971.1,11800.6,11126.6,11567.0,12308.9,12485.0,12407.6,12882.4,13582.7,13930.4,14224.9
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",8486.0,8955.5,9429.7,9923.6,10165.3,10503.6,10959.6,10767.5,10072.0,10499.5,11226.8,11422.0,11381.0,11822.1,12480.5,12807.2,13090.1
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),74.9,(D),(D),92.8,180.3,105.8,103.4,(D),(D),(D),(D)
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",42.3,26.1,54.8,97.8,61.8,61.8,70.7,58.7,54.9,87.0,174.1,98.5,98.1,39.4,19.9,21.1,(NA)
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),4.2,(D),(D),5.7,6.2,7.3,5.2,(D),(D),(D),(NA)
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),2.5,2.5,2.9,3.0,2.6,2.7,2.0,2.4,(D),(D),(D),(D)
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),(L),(L),0.1,0.6,0.3,(L),0.2,0.2,0.2,(L),0.1,(L),(NA)
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",483.6,452.9,450.0,466.8,480.8,484.5,499.3,499.5,437.6,385.0,401.7,432.6,464.9,459.3,511.3,545.2,591.6
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",2098.4,2219.9,2462.2,2627.9,2529.5,2451.7,2603.9,2426.9,1915.6,2361.5,2861.5,2839.5,2633.3,2716.0,2827.1,2890.9,2969.3
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",1677.1,1799.2,1987.2,2107.1,2015.6,1939.1,1917.1,1757.0,1247.5,1735.0,1731.5,1825.5,1639.0,1610.8,1811.2,1827.2,1916.1
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",46.2,47.4,48.8,53.0,67.0,44.6,48.6,40.4,39.0,38.0,36.1,40.7,41.3,48.0,54.0,68.0,(NA)
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",27.2,29.0,30.2,29.0,32.1,30.3,30.0,28.7,23.4,22.4,27.1,27.1,51.8,53.7,62.3,65.3,(NA)
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",130.7,144.8,125.5,(D),129.8,102.7,137.9,179.4,65.9,(D),(D),(D),(D),(D),(D),(D),(NA)
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",508.8,496.2,546.4,535.3,526.4,509.0,415.7,371.4,244.3,304.6,390.7,433.8,421.8,433.1,470.0,462.2,(NA)
 "43780" ,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",145.3,119.7,97.9,113.5,131.7,134.1,143.2,145.6,117.8,(D),129.6,125.0,134.3,137.0,129.7,128.6,(NA)
