GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",4433.6,5093.5,5225.6,5807.0,6188.7,6086.7,5315.7,5233.1,5293.0,5357.9,5865.5,6142.9,6195.7,6355.7,6685.2,7006.7,7118.7
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",3963.1,4614.4,4725.9,5296.9,5649.2,5526.8,4717.9,4597.3,4624.3,4675.4,5143.4,5458.7,5489.7,5628.7,5943.2,6261.9,6361.5
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",10.7,9.4,9.1,13.0,9.3,4.3,2.8,2.9,3.7,6.5,7.3,11.4,17.4,7.5,6.1,6.7,(D)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",7.1,6.0,6.1,10.0,7.5,2.8,1.5,1.8,2.3,4.5,5.0,8.7,13.2,3.2,1.3,1.4,(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",3.6,3.4,3.0,3.0,1.7,1.5,1.2,1.1,1.4,2.1,2.3,2.7,4.2,4.3,4.7,5.3,(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",7.6,6.6,8.4,10.4,7.7,10.1,15.8,10.5,17.4,23.0,25.8,9.3,10.2,12.7,21.2,22.1,(D)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,(L),(L),(L),(L),(L),(L),(L),0.0,0.1,(L),(L),(L),(L),(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",7.6,6.6,8.4,(D),(D),(D),15.7,10.5,17.4,23.0,25.8,9.2,10.2,12.7,(D),(D),(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,(D),(D),(D),(L),0.0,0.0,(L),0.0,(L),(L),(L),(D),(D),(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",71.5,66.8,64.1,77.5,63.7,65.6,70.5,63.8,104.8,92.1,96.7,110.1,103.4,(D),(D),(D),(D)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",218.5,229.0,222.1,250.6,276.5,317.0,309.7,295.3,289.4,279.4,276.1,281.9,275.5,293.7,(D),347.5,(D)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",748.9,722.6,614.0,609.6,605.1,743.1,699.3,673.4,684.9,651.5,672.0,672.4,646.7,652.5,684.6,770.2,632.4
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",312.3,252.2,(D),168.4,163.9,(D),(D),(D),(D),196.7,198.6,200.3,203.1,218.4,257.4,331.3,294.7
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",6.4,7.4,7.4,9.0,10.2,11.0,8.7,6.5,3.8,4.0,4.4,5.0,4.5,4.8,4.5,0.4,(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",14.2,19.6,22.2,22.7,28.9,41.0,43.1,38.9,28.9,31.8,35.6,33.9,40.4,56.8,76.6,83.4,(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),0.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",223.1,159.9,70.2,67.4,46.5,76.6,52.5,65.3,92.3,76.6,71.4,69.0,68.2,70.3,86.5,144.5,(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",33.5,32.3,31.8,37.5,43.4,55.1,35.5,34.2,31.4,36.5,40.2,35.9,36.1,33.2,30.5,30.2,(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",6.3,(D),(D),(D),(D),2.5,3.4,3.6,3.2,(D),(D),(D),(D),5.5,(D),(D),(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",8.9,7.4,7.1,6.0,3.5,3.0,2.3,2.4,1.6,1.9,1.9,2.4,1.2,(D),2.3,(D),(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16.6,19.8,21.9,26.0,(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",0.0,0.0,(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),0.1,0.0,0.0,(L),0.1,(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",0.8,(D),0.6,1.1,1.6,1.9,2.0,1.6,1.4,1.4,1.2,1.3,1.7,1.9,2.0,8.6,(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",16.3,14.2,15.4,15.0,18.0,20.2,20.8,25.1,22.2,19.6,18.1,20.8,18.9,21.0,26.2,27.1,(NA)
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",436.6,470.4,(D),441.2,441.2,(D),(D),(D),(D),454.8,473.4,472.1,443.7,434.1,427.3,438.9,337.7
 "38340" ,"Pittsfield, MA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",8.0,7.2,5.9,7.0,7.5,9.2,8.2,8.1,11.5,12.1,11.6,14.1,14.6,16.3,19.2,20.0,(NA)
