GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",9128.5,9387.3,10230.1,11562.4,12619.4,13677.6,14255.5,13923.8,13832.9,13973.3,13666.0,13951.6,15130.0,16266.4,17897.0,18883.7,19659.5
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",8030.2,8219.4,9004.0,10269.9,11235.0,12232.8,12687.6,12293.7,12119.4,12223.2,11887.1,12186.5,13316.0,14414.4,15972.9,16911.4,17608.4
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),695.3,723.8,605.0,509.4,(D)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",354.5,162.4,315.9,472.4,471.9,378.9,390.6,489.9,434.9,432.4,407.3,399.0,652.0,679.0,554.0,456.9,(NA)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),43.3,44.8,51.0,52.5,(NA)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5.2,6.2,8.0,7.8,(D)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.1,0.1,0.6,0.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(L),(L),0.1,(L),(L),(L),(L),(L),(NA)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),442.9,(D)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",595.6,615.8,745.3,889.4,1035.1,1022.4,890.1,708.2,593.4,(D),675.9,725.2,797.5,907.9,(D),(D),1085.2
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",1118.7,(D),937.1,1030.8,1345.9,(D),1995.4,1961.4,2157.3,(D),1546.1,1442.1,1521.6,1613.2,1614.4,(D),(D)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",255.1,(D),263.5,(D),(D),(D),432.5,493.1,(D),(D),438.4,424.4,(D),448.8,422.8,418.0,(D)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),17.3,25.4,22.1,20.0,(NA)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),38.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15.8,15.7,15.6,20.1,(NA)
 "41540" ,"Salisbury, MD-DE (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
