GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "30340" ,"Lewiston-Auburn, ME (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2731.3,2943.6,3060.8,3227.4,3323.1,3547.6,3686.2,3709.0,3637.1,3622.2,3579.4,3677.4,3702.2,3848.9,3946.6,4095.7,4213.9
 "30340" ,"Lewiston-Auburn, ME (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2468.9,2666.5,2777.2,2932.7,3013.8,3227.9,3355.5,3363.8,3290.6,3271.4,3235.6,3327.9,3342.2,3470.6,3564.4,3701.3,3810.9
 "30340" ,"Lewiston-Auburn, ME (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",39.1,39.0,53.0,42.6,18.1,23.0,36.2,45.4,37.1,(D),(D),(D),(D),(D),(D),16.1,(D)
 "30340" ,"Lewiston-Auburn, ME (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",36.5,36.2,49.9,39.2,15.2,19.1,30.2,39.4,31.7,26.7,35.1,42.2,44.1,21.5,32.6,8.1,(NA)
 "30340" ,"Lewiston-Auburn, ME (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",2.5,2.8,3.1,3.4,2.9,3.8,6.0,6.0,5.4,(D),(D),(D),(D),(D),(D),7.9,(NA)
 "30340" ,"Lewiston-Auburn, ME (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(L),(L),0.0,(L),0.0,(L),0.1,0.1,(L),(D),(D),(D),(D),(D),(D),4.7,(D)
 "30340" ,"Lewiston-Auburn, ME (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,0.0,(L),(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "30340" ,"Lewiston-Auburn, ME (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(L),(L),0.0,0.0,0.0,(L),0.1,(L),(L),(D),(D),(D),(D),(D),(D),4.7,(NA)
 "30340" ,"Lewiston-Auburn, ME (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,(L),0.0,0.0,0.0,(L),(L),(L),(L),0.1,0.1,(L),0.0,0.0,(NA)
 "30340" ,"Lewiston-Auburn, ME (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),31.5,35.8,33.0,(D),38.4,33.9,37.7,(D),37.8,(D),(D),60.1,65.9,75.6,84.0
