GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",16209.7,17286.6,17814.6,17919.5,18530.5,18779.7,19619.3,19258.8,18616.5,19398.1,19445.2,19826.0,20260.2,20177.2,21715.1,22580.6,23500.3
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",12645.6,13473.9,13882.9,13857.5,14240.5,14291.7,15030.1,14394.5,13537.0,13953.4,14037.2,14060.1,14367.1,14233.0,15326.2,15960.9,16757.5
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",6.1,7.5,15.8,25.9,22.3,26.3,24.3,19.0,23.1,28.5,(D),26.5,62.3,32.6,40.7,44.1,48.3
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",1.9,3.4,13.2,23.4,20.1,23.4,20.8,15.8,20.1,24.6,58.0,22.5,58.7,27.9,34.9,38.2,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",4.2,4.1,2.6,2.4,2.2,2.9,3.5,3.1,3.0,3.9,(D),4.0,3.6,4.7,5.8,5.9,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",8.6,5.9,4.5,1.4,2.1,3.4,1.6,2.9,1.1,2.8,(D),3.6,2.8,3.4,6.2,5.6,6.8
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.2,0.9,0.0,1.0,0.0,1.0,(L),(D),(D),(D),0.5,1.0,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",8.6,5.9,4.5,1.4,1.9,2.5,1.6,1.9,1.1,1.8,(D),(D),(D),(D),(D),(D),(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,(L),(L),0.0,0.1,0.0,0.0,0.0,0.0,0.0,(L),(D),(D),(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",134.3,119.3,239.0,274.7,236.5,290.1,335.5,665.3,420.9,495.1,289.2,304.7,286.3,252.7,309.2,384.8,368.0
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",502.8,496.9,492.7,535.9,601.7,525.9,472.7,400.0,335.1,317.0,340.1,366.6,384.6,433.8,481.1,520.2,554.7
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",2872.1,3382.2,3470.6,3136.8,3161.8,2922.1,2843.9,2215.0,1673.2,2141.5,2287.8,2247.6,2520.6,2143.1,2111.2,1945.5,1946.9
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",2484.0,2951.3,3060.4,2714.0,2750.2,2449.1,2360.6,1752.3,1218.0,1636.7,1679.6,1518.7,1756.3,1522.2,1482.0,1274.8,1303.0
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),3.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),32.7,13.7,7.7,9.9,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",5.9,6.7,6.8,7.7,17.1,14.3,12.6,13.1,6.5,9.9,7.1,8.4,18.6,22.5,28.5,28.9,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),1.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",181.6,175.4,196.1,173.0,171.6,149.7,126.0,90.7,76.7,92.8,97.8,104.0,110.6,117.3,118.7,121.7,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",108.3,100.3,100.4,103.8,108.0,101.9,108.0,100.9,80.2,92.9,103.6,85.2,105.1,107.5,111.8,108.1,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",141.2,110.9,119.6,111.5,120.5,120.7,134.2,134.5,105.5,88.8,117.0,126.8,166.4,168.6,162.9,0.0,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",5.9,6.2,5.7,5.0,2.2,2.4,2.5,2.8,2.8,3.0,(D),4.0,15.5,25.1,22.4,18.9,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),756.6,(D),(D),(D),(D),(D),(D),(D),(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),2.2,(D),(D),(D),(D),(D),(D),14.3,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",5.7,6.0,7.5,9.3,9.9,8.8,8.1,8.8,6.5,5.8,6.4,7.8,6.3,7.1,8.9,8.6,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",118.4,118.0,105.9,91.3,105.3,101.3,128.5,130.1,174.7,179.2,197.8,219.0,206.0,207.9,212.8,199.3,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",388.1,431.0,410.2,422.8,411.7,473.0,483.3,462.8,455.2,504.7,608.2,728.9,764.3,620.9,629.1,670.7,644.0
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),78.9,69.2,83.1,(D),(D),(D),(D),(D),(D),107.2,115.9,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",0.5,(D),(D),0.5,0.5,0.5,0.6,(D),0.9,0.7,0.8,1.3,1.3,2.0,2.0,2.4,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),0.3,0.4,0.4,0.1,0.0,(D),(D),(D),(D),(D),0.2,0.2,0.1,0.1,0.0,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",141.4,144.7,151.8,142.4,151.0,152.1,155.8,161.6,130.9,132.8,135.6,141.6,133.4,128.0,131.5,131.9,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",67.1,89.6,86.2,115.6,99.4,122.5,141.5,115.2,116.6,120.3,117.2,109.1,138.8,123.7,155.2,142.3,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",109.3,116.3,90.5,90.2,82.4,80.6,95.9,79.3,80.5,133.5,148.3,173.0,182.6,191.3,189.9,240.0,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",555.0,593.7,663.0,731.2,778.5,840.6,886.3,826.1,795.0,843.9,834.0,861.1,835.9,873.0,946.1,998.7,1100.8
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",35,"44-45","  Retail trade",960.0,969.6,943.0,980.2,998.2,978.0,952.0,965.6,1000.7,1014.8,1023.2,969.9,981.1,1050.3,1072.4,1134.6,1157.7
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",36,"48-49","  Transportation and warehousing",322.2,297.7,351.6,330.0,347.2,311.1,332.4,354.5,314.3,382.4,436.9,397.4,339.7,311.7,357.8,338.5,396.1
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",37,"481","   Air transportation",26.4,20.6,58.4,81.7,104.0,120.4,(D),(D),(D),188.7,228.8,185.9,160.3,123.5,144.7,(D),(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",38,"482","   Rail transportation",0.7,0.6,0.2,0.3,0.0,0.7,0.7,1.0,0.9,0.9,1.1,1.0,1.1,1.2,1.2,1.2,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",39,"483","   Water transportation",0.3,0.0,0.1,(L),0.0,0.0,(L),0.1,0.0,(L),0.0,(D),(D),(D),0.0,0.0,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",40,"484","   Truck transportation",164.4,169.5,182.7,151.5,157.6,124.6,123.6,136.6,108.5,109.8,118.0,117.2,97.3,103.0,108.1,88.4,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",41,"485","   Transit and ground passenger transportation",9.5,9.6,14.1,16.4,16.6,14.4,15.0,13.5,13.1,12.9,13.1,14.2,12.4,12.9,15.0,15.5,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",42,"486","   Pipeline transportation",(D),(D),(D),19.4,13.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),54.9,48.6,(D),38.1,38.3,34.0,(D),(D),(D),45.9,54.2,(D),(D),(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",44,"493","   Warehousing and storage",10.3,8.8,5.4,5.7,7.1,7.3,6.9,7.8,8.4,9.0,25.5,22.9,19.7,15.4,27.4,30.1,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",45,"51","  Information",553.1,640.5,682.7,649.6,635.8,597.0,672.3,691.5,743.6,749.7,787.3,707.7,790.3,944.0,1126.3,1154.4,1213.9
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",46,"511","   Publishing industries (except Internet)",205.4,252.6,310.6,(D),385.1,343.5,372.7,385.8,453.3,457.1,430.3,407.9,405.4,409.4,466.7,445.7,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",47,"512","   Motion picture and sound recording industries",15.9,15.9,18.7,18.4,24.3,29.8,(D),(D),(D),(D),(D),(D),43.3,(D),(D),(D),(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",(D),(D),(D),161.9,(D),(D),(D),(D),(D),(D),(D),(D),132.5,(D),(D),(D),(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",49,"518, 519","   Data processing, hosting, and other information services",(D),(D),(D),(D),(D),(D),167.5,162.8,152.1,143.3,165.4,154.3,209.1,388.7,505.3,550.5,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",2472.7,2484.9,2479.9,2487.9,2626.8,2914.5,3295.4,3218.6,3306.1,2953.5,2861.4,2822.4,2694.7,2590.8,2982.0,3119.8,3391.5
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",51,"52","   Finance and insurance",372.0,412.9,423.6,364.4,424.4,492.4,490.3,380.9,456.3,480.1,457.7,639.8,666.5,666.1,813.7,723.2,761.7
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services",220.2,256.3,282.1,191.1,202.6,193.2,175.7,147.6,147.9,151.4,154.7,271.3,268.2,222.2,284.0,274.2,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",53,"523","    Securities, commodity contracts, and other financial investments and related activities",35.8,34.6,27.6,(D),(D),48.1,(D),(D),(D),62.0,(D),(D),(D),119.2,139.0,136.8,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",54,"524","    Insurance carriers and related activities",107.9,110.2,108.7,140.2,170.1,240.2,252.6,172.0,228.7,235.6,219.5,239.9,241.7,265.4,349.7,276.9,(NA)
 "11460" ,"Ann Arbor, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",55,"525","    Funds, trusts, and other financial vehicles",8.2,11.9,5.2,(D),(D),11.0,(D),(D),(D),31.1,(D),(D),(D),59.2,41.0,35.3,(NA)
