GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2593.4,2720.5,2777.4,2765.7,2806.6,2946.1,2939.4,2903.6,2958.3,3027.3,3039.1,3116.0,3156.7,3093.8,3188.2,3270.5,3251.0
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2222.2,2341.7,2389.7,2364.8,2391.5,2530.2,2519.2,2466.5,2513.7,2570.2,2593.6,2660.0,2694.8,2634.1,2713.8,2794.6,2766.4
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),31.7,(D),(D),(D),50.1,68.3,68.5,50.3,21.6,22.4,16.8,16.6
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",0.0,19.3,9.1,22.5,23.5,29.8,22.4,48.6,29.7,45.7,63.9,63.5,46.6,18.0,19.0,13.3,(NA)
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),1.8,(D),(D),(D),4.4,4.4,5.1,3.7,3.6,3.4,3.5,(NA)
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1.4,1.1,1.4,1.2,1.3,1.5,1.7,2.0,2.2,1.9,1.3,1.9,3.0,2.4,1.2,0.8,0.8
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1.3,1.9,(D),(D),(D),(D),(NA)
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(L),(L),(L),0.1,0.1,0.1,0.1,0.2,0.4,(L),0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),0.0,(D),(D),(D),(D),(NA)
 "13020" ,"Bay City, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),176.8,(D),(D),(D),(D)
