GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",36163.0,38108.4,39093.6,39986.5,41838.3,42638.9,42589.8,41200.9,39923.7,41317.9,43093.5,46405.9,49187.3,52318.7,56274.7,57909.5,60529.2
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",33363.5,35165.9,36055.0,36849.2,38513.7,39255.2,39111.4,37552.1,36242.1,37556.1,39300.4,42572.7,45292.2,48383.2,52173.6,53704.0,56249.0
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",280.5,298.1,293.5,345.8,312.3,388.8,395.1,428.4,467.8,441.3,607.8,399.6,568.0,558.4,581.7,521.4,(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),52.4,38.2,19.8,17.7,(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15.8,12.6,11.4,16.0,(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),301.1,542.4,519.8,558.1,571.4
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",1883.5,1874.0,1919.7,2064.1,2121.9,2037.5,1991.5,1801.7,1527.1,1419.4,1523.3,1853.9,2090.2,2291.0,2521.4,2786.9,3009.0
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",9985.2,10581.0,10698.8,10777.7,11000.3,10894.3,10785.1,10082.3,8824.5,9673.4,10400.8,11415.0,12829.7,13556.8,14504.6,13854.8,14483.1
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",7320.3,7640.3,7802.8,(D),(D),(D),(D),(D),(D),(D),(D),(D),8888.9,9262.8,9798.9,9130.0,9747.0
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",103.0,83.6,91.0,111.3,126.1,120.2,132.8,76.2,79.8,106.2,107.4,(D),(D),(D),(D),(D),(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),256.4,290.6,379.0,334.9,(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",729.7,738.4,770.5,825.6,931.4,942.3,953.7,883.6,726.4,857.2,957.7,995.4,1096.4,1145.3,1220.8,1251.4,(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",939.6,946.5,996.5,1004.0,1017.0,939.8,903.2,837.8,742.2,842.8,975.2,1023.0,1276.3,1350.1,1475.8,1383.1,(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),330.3,339.6,422.9,469.5,(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2940.4,2987.3,3068.9,3353.8,(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),70.3,82.6,82.4,(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1225.2,1309.6,1410.3,1392.9,(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",188.6,192.7,170.7,173.1,194.1,202.9,271.8,302.4,354.2,364.8,344.7,(D),(D),(D),269.3,(D),(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",2664.8,2940.7,2896.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),3940.8,4294.0,4705.7,4724.8,4736.1
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1362.9,1465.2,1585.8,(D),(NA)
 "24340" ,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),64.0,(D),(NA)
