GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",4132.4,4219.0,4290.3,4432.9,4602.3,4768.0,4760.3,4744.3,4509.0,4750.8,4955.6,5105.6,5257.2,5478.6,5639.5,5740.6,5905.7
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",3583.6,3649.0,3713.7,3849.0,3991.7,4143.8,4133.7,4096.4,3864.2,4097.8,4318.0,4478.3,4640.7,4866.5,5003.6,5108.9,5262.0
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",20.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),69.6,67.2
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",18.4,14.2,20.2,25.8,24.9,28.8,36.1,36.7,39.1,43.1,69.2,28.6,62.7,64.3,57.2,66.0,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",2.1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.6,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",4.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),28.8,41.5
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.1,(L),0.0,0.1,0.0,0.1,0.2,0.4,1.4,1.7,0.3,0.3,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",4.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,(L),0.0,0.0,(L),0.0,0.0,(L),0.0,(L),0.1,(D),(D),(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",223.6,209.0,190.7,177.7,185.7,189.4,188.4,180.7,148.9,149.9,172.9,211.9,214.7,221.6,263.9,287.4,299.2
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",1038.0,1053.3,1042.2,1169.7,1205.5,1278.4,1292.6,1257.3,1080.0,1288.8,1463.8,1587.5,1607.2,1641.5,1621.9,1589.7,1594.1
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",818.2,831.3,830.0,936.7,994.4,1051.6,1092.9,1064.2,869.7,1023.2,1173.8,1268.2,1262.5,1308.9,1254.9,1168.7,1205.1
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",1.4,1.0,0.7,0.5,0.5,0.5,0.3,(D),(D),(D),1.4,3.0,(D),(D),(D),(D),(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",3.6,3.3,3.6,6.4,7.4,6.8,6.4,6.1,5.1,5.3,5.6,7.4,9.5,12.5,16.5,18.2,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",80.3,97.7,94.3,281.0,336.3,421.8,488.7,472.5,374.5,422.3,491.4,549.2,504.3,544.9,467.9,399.5,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",185.3,206.4,216.2,228.6,235.6,227.4,246.2,233.8,206.0,219.7,243.9,253.4,264.0,280.6,229.9,231.4,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",100.1,115.7,114.7,140.3,129.0,126.1,131.7,135.0,111.9,112.6,105.4,101.3,128.1,142.3,140.6,131.9,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),2.2,2.6,4.5,4.4,4.5,0.0,0.0,0.0,3.2,(D),(D),(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",4.7,5.7,5.9,5.6,5.2,6.0,5.9,7.3,7.1,8.9,12.0,12.0,9.8,7.8,12.8,12.5,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),159.2,216.9,235.2,250.4,220.9,211.9,205.2,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4.0,4.5,(D),(D),70.7,71.6,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",46.3,44.7,47.5,76.8,81.2,79.2,78.7,82.5,62.9,49.4,57.4,66.3,54.2,58.9,59.7,56.7,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",41.3,41.9,40.6,41.2,41.2,40.1,35.1,35.5,37.8,38.8,35.7,35.9,33.2,30.8,37.8,38.5,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",219.8,222.0,212.1,233.0,211.1,226.8,199.8,193.1,210.3,265.6,289.9,319.3,344.7,332.6,367.0,420.9,389.0
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",26.6,29.7,34.1,37.1,36.2,56.2,52.3,58.4,66.6,72.7,70.1,(D),(D),(D),(D),(D),(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),1.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",0.6,0.3,0.1,0.2,(D),(D),0.3,0.4,0.5,1.3,0.2,0.3,(L),0.0,0.0,0.0,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",25.8,27.6,27.1,25.9,27.4,26.0,27.7,29.7,25.4,26.0,25.9,28.3,29.1,27.4,31.8,32.4,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",75.1,68.8,62.2,68.6,58.2,57.7,62.3,54.6,76.0,114.3,149.5,186.9,199.6,186.3,216.1,240.0,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",18.1,17.4,16.7,15.8,18.8,19.6,19.4,14.5,13.7,17.1,20.7,21.5,20.7,21.5,30.4,58.6,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",221.4,154.7,159.4,145.8,163.9,166.5,172.7,187.1,167.3,172.1,177.4,181.4,211.7,252.0,258.3,260.7,273.6
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",35,"44-45","  Retail trade",405.3,466.2,484.6,496.6,540.0,548.5,542.0,530.9,549.9,560.8,561.4,565.7,542.8,586.0,586.3,607.2,645.5
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",36,"48-49","  Transportation and warehousing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",37,"481","   Air transportation",4.0,3.4,4.1,5.1,5.8,6.2,6.8,5.6,4.2,4.0,(D),(D),(D),(D),(D),(D),(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",38,"482","   Rail transportation",1.2,1.0,1.0,1.1,1.0,1.0,0.9,0.9,0.8,0.8,0.9,0.7,0.7,0.8,0.8,0.7,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",39,"483","   Water transportation",(L),0.0,0.0,0.0,0.0,0.0,(L),(L),(D),31.1,43.8,52.2,62.4,62.0,59.1,58.6,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",40,"484","   Truck transportation",12.2,10.2,9.7,11.4,12.8,12.2,15.3,13.1,14.5,14.2,14.6,16.7,16.6,18.0,23.8,25.2,(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",41,"485","   Transit and ground passenger transportation",(D),(D),0.9,1.2,1.4,1.2,1.1,0.9,1.1,0.9,(D),(D),(D),(D),(D),(D),(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",42,"486","   Pipeline transportation",0.2,0.1,0.1,(L),0.3,0.4,1.2,1.9,2.5,2.4,0.1,0.2,0.1,(L),(L),(D),(NA)
 "34740" ,"Muskegon, MI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),(D),(D),(D),(D),(D),28.3,(D),16.7,16.8,16.4,16.6,17.1,18.6,(NA)
