GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "20260" ,"Duluth, MN-WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",7443.4,7936.2,8093.8,8534.5,8837.7,9179.9,9431.4,9942.0,9677.9,11343.7,12236.0,12113.7,12465.4,12912.8,11692.0,12890.0,13317.8
 "20260" ,"Duluth, MN-WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",6114.8,6535.2,6701.9,7080.5,7356.0,7651.9,7859.9,8292.5,7976.3,9592.0,10478.5,10320.3,10682.2,11103.3,9822.4,10984.7,11367.9
 "20260" ,"Duluth, MN-WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),23.8,27.2,23.3,25.0,23.5
 "20260" ,"Duluth, MN-WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",5.3,5.6,7.3,7.5,4.9,7.5,9.1,2.9,2.6,6.7,6.8,5.2,9.0,11.8,6.9,8.4,(NA)
 "20260" ,"Duluth, MN-WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),14.7,15.5,16.4,16.6,(NA)
 "20260" ,"Duluth, MN-WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2327.7,2317.0,764.7,1545.6,1620.3
 "20260" ,"Duluth, MN-WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.1,0.1,0.3,(L),(L),0.3,0.9,3.0,3.1,12.2,41.3,36.5,32.5,24.8,22.4,10.2,(NA)
 "20260" ,"Duluth, MN-WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2295.1,2292.2,733.7,(D),(NA)
 "20260" ,"Duluth, MN-WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(L),(L),8.6,(D),(NA)
 "20260" ,"Duluth, MN-WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),476.2,360.2,365.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "20260" ,"Duluth, MN-WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",377.4,389.6,406.4,437.0,473.2,502.2,526.1,506.7,487.3,472.7,487.4,506.0,561.4,594.3,614.4,581.4,552.2
 "20260" ,"Duluth, MN-WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",662.9,685.5,746.9,768.9,804.2,768.8,825.6,900.3,790.2,849.8,885.6,927.1,918.5,1074.9,1071.3,1169.3,1235.6
