GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3666.7,3826.4,3753.8,3982.0,4117.4,4332.4,4335.2,4342.6,4199.4,4390.8,4637.9,4912.2,4891.7,4884.0,4961.5,5252.1,5441.4
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",3376.3,3517.2,3435.1,3646.7,3763.0,3954.0,3933.9,3914.5,3758.6,3946.9,4201.8,4486.2,4463.1,4443.4,4496.5,4778.0,4950.6
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),7.3,3.4,11.5,7.1,12.7,8.0,7.2,10.1
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",18.8,6.9,15.9,17.0,16.0,16.4,16.1,8.8,4.9,4.5,0.2,7.9,4.3,10.1,4.8,3.3,(NA)
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),2.8,3.2,3.6,2.8,2.6,3.2,3.9,(NA)
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),5.9,6.3,4.9,4.9,6.1,6.8,7.4,10.5
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.1,0.0,0.0,0.0,0.0,(L),(L),(L),(L),0.0,0.0,0.0,0.0,(L),0.0,0.0,(NA)
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),0.0,0.0,0.0,(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",34.4,34.7,38.7,41.3,42.6,32.0,27.5,20.1,27.2,30.2,51.2,138.0,165.2,48.4,42.7,43.9,42.9
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",211.8,203.7,216.8,253.1,248.5,253.9,272.0,238.1,211.3,200.2,185.2,189.9,202.0,205.6,216.3,227.8,239.8
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",1005.3,1065.3,961.3,1039.2,1053.8,1152.4,1067.2,1014.3,939.2,1008.1,1019.8,1111.9,1072.2,1015.7,1052.5,1078.5,1097.2
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),324.7,321.0,364.5,402.1,493.5,460.6,455.3,390.0,480.1,477.9,516.9,488.5,464.4,470.9,488.4,494.4
 "15500" ,"Burlington, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",19.0,19.1,26.1,24.3,18.6,21.4,20.9,19.1,15.3,24.6,22.3,26.0,30.2,34.9,38.0,37.0,(NA)
