GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",9433.6,10205.2,10862.1,11447.0,12532.8,13304.9,14227.7,15084.8,16195.4,16860.1,17362.8,17268.3,17094.3,16867.4,16981.1,16998.6,17263.4
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",5104.7,5426.2,5560.7,5799.6,6229.0,6470.7,6801.4,7158.5,7876.0,8122.2,8255.3,8216.4,8270.5,8091.0,7948.7,8105.5,8217.8
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",51.1,11.8,11.2,60.7,41.9,72.3,36.0,61.7,48.8,61.0,72.4,81.2,94.4,93.9,64.7,66.9,(NA)
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.1,0.0,0.0,0.0,0.0,0.0,(L),(L),0.1,0.0,(L),(L),(L),(L),0.1,0.1,(NA)
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),0.1,(L),(L),0.0,(L),(L),(D),(D),0.0,(L),(L),(L),(L),0.1,(NA)
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),74.9,85.3,90.4,75.9,106.3,116.7,119.9,135.5,155.0,170.9,159.3,169.5,176.3
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",306.1,389.4,395.5,364.6,453.8,511.8,572.0,477.8,481.6,496.4,496.7,497.7,505.9,462.6,445.0,410.0,458.8
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",1442.8,1438.0,1366.4,1318.9,1338.4,1308.8,1313.6,1369.0,1681.4,1607.4,1610.5,1627.1,1775.2,1512.6,1533.2,1545.1,1509.1
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",315.3,324.4,322.9,330.6,324.5,323.5,302.9,325.4,362.4,389.9,314.7,310.6,335.0,364.0,368.6,370.7,382.2
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),11.2,11.6,11.8,11.5,17.3,12.3,10.3,11.8,(D),(D),(D),(D),(D),(D),(NA)
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),31.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),0.2,0.1,(L),0.0,0.0,0.1,0.1,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "22180" ,"Fayetteville, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",18.0,20.9,28.4,32.3,32.5,37.3,31.1,31.9,33.4,27.4,25.9,(D),(D),(D),(D),(D),(NA)
