GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24140" ,"Goldsboro, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3020.3,3076.8,3124.9,3378.0,3507.4,3709.6,3768.5,3764.2,3988.1,4046.4,4109.6,4242.7,4329.8,4381.0,4448.1,4437.3,4492.4
 "24140" ,"Goldsboro, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2279.8,2319.2,2335.0,2549.4,2657.6,2833.0,2850.1,2816.9,3024.2,3035.8,3085.3,3217.8,3311.2,3347.9,3418.0,3393.3,3422.7
 "24140" ,"Goldsboro, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),64.8,73.3,63.7,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "24140" ,"Goldsboro, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",64.8,49.2,24.1,52.1,60.9,48.7,96.0,167.6,141.7,178.9,166.9,195.8,229.4,279.5,210.1,188.0,(NA)
 "24140" ,"Goldsboro, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),12.7,12.4,15.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24140" ,"Goldsboro, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "24140" ,"Goldsboro, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(L),(L),(L),(L),(L),0.0,0.0,(NA)
 "24140" ,"Goldsboro, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),0.0,0.0,(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24140" ,"Goldsboro, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),0.0,0.0,0.0,0.0,(L),0.0,(L),(L),0.0,0.0,0.0,(NA)
 "24140" ,"Goldsboro, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",73.8,74.5,77.3,85.1,84.8,68.0,68.2,42.6,68.6,73.4,79.1,100.7,124.7,125.4,115.7,117.2,118.1
