GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "40580" ,"Rocky Mount, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",4753.2,4972.5,5055.8,5185.1,5172.5,5488.5,5432.7,5627.0,5905.2,5982.0,6202.3,5952.9,6032.7,6006.0,6273.7,5925.9,5896.6
 "40580" ,"Rocky Mount, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",4225.9,4427.6,4492.0,4602.4,4566.0,4851.7,4763.4,4937.6,5191.1,5254.3,5476.5,5256.6,5341.8,5313.1,5557.3,5164.5,5108.3
 "40580" ,"Rocky Mount, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),131.3,134.6,108.1,(D),125.8
 "40580" ,"Rocky Mount, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",128.1,65.2,74.7,118.2,117.4,107.5,86.3,131.6,142.1,124.2,122.7,120.1,96.4,95.1,69.4,88.2,(NA)
 "40580" ,"Rocky Mount, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),34.9,39.5,38.7,(D),(NA)
 "40580" ,"Rocky Mount, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4.9,7.3,6.4,(D),5.6
 "40580" ,"Rocky Mount, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),0.0,0.0,0.0,(L),(L),(L),(L),0.0,(L),(L),0.1,0.2,0.2,0.1,(NA)
 "40580" ,"Rocky Mount, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6.1,(D),(NA)
 "40580" ,"Rocky Mount, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),(L),(L),(L),(L),0.0,(D),(D),(D),(D),0.1,0.1,(NA)
 "40580" ,"Rocky Mount, NC (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),42.5,35.0,40.6,28.4,(D),(D),(D),(D),42.5,46.3,44.1,68.9,(D)
