GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3404.2,3475.6,3622.6,3900.5,4454.3,5036.8,5262.2,5470.1,5779.3,6234.6,6507.9,6472.0,6384.3,6319.9,6166.3,5966.1,5941.6
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",1498.5,1584.1,1689.9,1792.8,1955.0,2092.5,2157.1,2252.7,2392.9,2509.9,2515.1,2539.7,2537.1,2535.5,2528.2,2545.2,2533.6
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",22.0,30.1,44.4,67.4,68.8,53.0,66.5,74.2,44.7,76.2,116.7,85.7,107.6,121.0,78.8,78.0,83.7
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",19.3,27.2,40.7,63.4,64.6,48.5,62.9,70.2,41.0,71.8,112.9,81.7,103.6,116.0,73.0,72.0,(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",2.7,2.8,3.7,4.1,4.2,4.5,3.6,3.9,3.7,4.4,3.7,3.9,4.0,5.0,5.8,6.0,(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",0.8,0.8,1.3,1.5,2.6,6.5,5.8,6.1,4.8,6.6,5.5,6.7,6.6,5.8,6.7,7.2,8.1
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),(L),0.1,0.2,0.2,0.1,0.1,0.2,0.5,0.5,0.8,0.9,1.0,0.7,(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",0.8,0.8,1.3,1.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),0.0,(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",98.8,(D),100.8,91.5,98.0,106.2,101.3,90.2,98.9,103.8,102.7,91.2,95.4,72.6,70.9,65.3,64.1
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",88.1,97.6,90.5,112.7,126.8,151.1,165.8,175.4,207.2,216.7,202.3,218.7,183.0,181.0,197.0,210.7,198.9
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",197.1,183.4,197.5,206.9,225.8,258.1,256.5,278.2,310.8,311.1,294.5,296.5,332.4,368.8,334.2,298.9,242.2
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",85.7,86.2,91.2,100.8,110.7,118.9,122.6,136.7,132.1,139.1,132.2,128.3,137.6,153.1,137.8,121.2,113.4
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",3.9,4.6,4.9,2.6,3.1,3.1,3.2,3.2,3.2,4.1,5.0,8.6,11.6,8.5,6.0,4.4,(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",9.2,8.8,8.7,11.0,11.5,13.0,12.1,11.5,13.0,12.7,11.2,11.5,12.5,14.0,14.0,15.5,(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(L),(L),(L),(L),(L),0.0,(L),(L),(L),(L),(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",1.7,7.7,8.1,8.5,7.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",8.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),0.0,(D),(D),0.0,0.0,(L),(D),(D),(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",21.0,19.4,20.4,16.3,13.8,16.8,13.1,12.9,10.9,11.9,(D),(D),(D),(D),(D),(D),(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),0.0,(L),0.0,0.0,0.0,(L),(L),(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),71.2,92.4,81.7,68.0,(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),0.5,(D),0.4,0.5,0.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),36.0,35.5,37.1,21.3,11.9,10.6,9.3,9.8,8.8,(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",111.3,97.2,106.3,106.1,115.1,139.2,133.9,141.6,178.7,172.0,162.3,168.1,194.8,215.6,196.4,177.8,128.8
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),46.8,47.4,44.0,40.6,45.1,47.9,49.9,48.0,(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),0.6,0.6,0.6,0.6,0.5,0.5,(D),(D),(D),(D),(NA)
 "48060" ,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),2.4,2.0,1.5,2.2,2.0,1.9,1.8,2.3,2.3,2.0,(NA)
