GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",4232.8,4656.2,4936.5,5113.0,5680.5,6382.0,6381.0,6187.2,5770.5,5762.8,6063.6,6421.1,6882.5,7584.2,8421.4,9548.0,10149.8
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",3813.1,4206.4,4461.6,4610.4,5173.7,5852.0,5818.0,5578.1,5137.0,5110.3,5385.0,5734.8,6179.8,6841.1,7643.7,8537.0,9108.7
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",23.6,24.3,27.0,23.3,26.9,35.6,31.4,26.8,20.0,17.0,25.3,38.3,38.8,39.8,39.0,(D),40.4
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",23.6,24.3,27.0,21.2,26.9,35.6,31.4,26.8,20.0,17.0,25.3,38.3,38.8,39.8,39.0,(D),(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",4.1,5.5,7.6,12.3,15.5,18.3,23.4,10.1,10.9,10.6,7.6,6.6,7.2,9.7,8.2,(D),9.0
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0.9,0.3,0.3,(L),0.0,0.0,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6.7,6.3,6.9,(D),(D),(D),(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.1,0.3,(L),0.0,0.0,(D),(D),0.0,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",84.7,83.2,96.9,103.2,110.4,127.8,228.5,131.2,155.6,122.5,100.6,157.1,160.9,149.7,165.7,151.9,163.7
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",344.4,346.5,418.4,477.4,608.6,726.5,719.4,511.0,310.9,210.0,206.4,302.0,382.1,510.0,642.4,732.9,800.9
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",299.6,319.6,331.2,416.4,446.3,542.6,517.6,492.4,441.0,443.8,478.8,460.2,521.5,514.2,579.5,649.8,661.5
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",259.1,275.7,280.5,362.7,(D),(D),425.6,404.7,356.2,368.9,400.0,377.7,410.5,384.8,397.4,463.2,458.7
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",104.6,90.6,95.2,114.4,117.6,109.1,94.4,61.0,48.8,54.4,54.4,56.6,66.6,60.6,60.7,51.8,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",7.4,8.3,7.5,14.8,10.4,12.5,12.4,9.8,6.0,5.6,7.3,6.2,7.4,8.6,12.3,13.3,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",15.4,17.4,20.2,25.6,28.4,30.2,28.0,25.5,23.4,21.0,24.1,30.6,32.3,35.6,43.4,49.5,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",8.6,9.1,6.7,8.8,8.5,9.4,10.0,10.1,8.2,7.4,5.0,5.5,6.5,5.3,5.8,17.9,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",33.1,46.9,41.2,72.8,83.7,119.3,120.1,163.3,157.6,182.2,201.4,181.0,178.8,148.7,138.5,189.7,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),3.9,10.9,14.7,18.4,38.7,23.4,32.9,32.4,37.8,40.4,26.6,29.2,19.3,25.0,13.1,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),11.6,14.5,18.8,23.6,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",14.8,17.3,20.1,17.3,23.6,26.9,25.2,17.5,9.8,7.8,8.4,9.1,12.3,14.0,19.0,21.5,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",17.4,18.1,13.6,15.9,16.6,17.2,20.7,20.2,21.9,21.7,19.1,20.2,24.9,30.8,26.9,25.2,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",40.5,43.9,50.6,53.7,(D),(D),91.9,87.7,84.8,74.9,78.8,82.5,111.0,129.3,182.1,186.7,202.8
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),19.6,24.9,27.4,33.6,38.5,39.0,27.5,36.8,31.5,32.1,37.8,56.1,69.7,90.3,107.5,(NA)
 "13460" ,"Bend-Redmond, OR (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),3.6,4.5,3.1,1.9,1.5,1.0,1.3,1.2,1.8,2.1,2.4,2.7,(D),(NA)
