GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2912.9,3007.7,3252.3,3617.9,3942.6,4189.0,4336.6,4429.6,4243.7,4388.2,4520.2,4593.6,4948.4,5119.5,5230.0,5317.8,5545.3
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2479.3,2545.8,2757.1,3084.4,3371.2,3586.7,3686.1,3737.0,3514.8,3633.0,3744.5,3822.1,4192.8,4375.7,4477.7,4543.2,4760.9
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),180.3,(D),(D),218.3,256.3,200.9,132.5,137.4
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",136.4,74.7,113.3,164.6,169.4,150.8,190.4,190.4,125.0,166.7,207.3,170.9,199.5,235.2,179.2,110.6,(NA)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),13.7,(D),(D),18.8,21.1,21.7,21.8,(NA)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),14.5,(D),(D),9.1,15.5,19.8,21.3,31.7
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),0.1,0.1,0.1,0.1,0.1,(L),(L),0.5,2.2,0.7,0.4,0.7,2.8,4.5,(NA)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(L),(L),(L),(L),(L),0.0,0.0,(D),(D),(D),(D),(D),(D),(D),(NA)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",17.0,16.2,17.3,21.1,21.5,(D),(D),23.6,21.7,26.3,27.4,23.3,20.7,23.8,25.0,23.8,25.4
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",142.8,148.6,173.6,219.0,249.0,264.1,251.2,230.0,196.3,182.3,182.6,194.4,204.1,223.8,234.4,247.6,267.8
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",627.3,601.7,613.3,666.7,775.3,851.7,904.4,913.1,804.5,757.8,802.0,889.0,1017.4,1079.2,1056.8,1008.7,1065.6
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",462.2,420.6,399.9,452.1,(D),(D),(D),666.5,540.7,506.2,569.1,633.2,740.9,755.1,691.5,634.9,669.7
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",22.0,23.8,26.4,29.0,32.9,34.1,30.1,25.0,18.9,16.4,16.3,16.0,18.8,23.6,24.6,21.5,(NA)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",73.4,66.0,70.8,79.6,86.9,83.7,74.9,102.6,80.9,55.4,52.6,53.6,40.8,44.4,50.8,55.0,(NA)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",4.9,1.8,0.0,5.4,10.3,16.7,16.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16540" ,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",58.6,53.1,43.6,48.0,57.4,73.3,83.2,85.7,75.1,72.8,77.6,80.4,88.0,85.9,82.0,80.3,(NA)
