GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3701.2,3959.5,4074.7,4308.3,4535.9,4879.1,5179.1,5457.7,5523.8,5637.7,5505.8,5462.7,5581.2,5551.9,5815.9,6047.0,6340.0
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",3081.5,3291.9,3340.2,3484.6,3633.3,3907.2,4102.8,4297.7,4305.8,4364.8,4220.6,4235.9,4438.3,4426.2,4690.3,4910.5,5188.5
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),2.7,4.8,3.1,2.8,0.3,(D),3.9,5.4,4.7,6.3,5.8,5.2,4.1,5.0,5.1
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",0.0,0.0,1.5,3.7,2.3,2.3,0.0,1.4,3.6,4.6,3.6,5.1,4.7,4.6,3.3,4.1,(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),1.2,1.1,0.8,0.5,0.3,(D),0.3,0.8,1.1,1.2,1.1,0.6,0.8,0.9,(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),2.8,6.5,8.8,8.8,11.5,13.3,12.7,15.6,18.5,16.9,18.2,27.3,21.9,25.7,39.8
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),0.0,(L),(L),(L),(L),0.2,0.3,1.1,3.1,5.0,7.4,15.6,7.2,7.0,(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),2.8,6.5,8.7,8.7,11.4,13.2,12.4,14.4,15.2,11.6,10.6,11.3,14.3,18.0,(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,0.0,0.0,(L),(L),(L),(L),(L),0.1,0.3,0.3,0.3,0.4,0.4,0.6,(NA)
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",29.6,30.1,35.3,38.2,20.6,22.4,22.6,22.3,23.7,26.6,37.2,25.6,22.6,21.1,42.4,40.1,40.9
 "20700" ,"East Stroudsburg, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",206.1,214.3,229.0,257.2,277.0,267.2,259.2,234.1,188.5,174.6,173.3,178.0,191.3,204.6,212.9,225.4,237.0
