GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",11671.7,12029.5,12378.8,12717.9,13382.9,14583.8,14743.6,14800.2,14580.4,15198.8,15666.8,16092.4,16533.4,17974.7,18889.4,19629.5,18679.1
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",10564.1,10866.6,11126.6,11371.0,11932.3,13027.4,13100.6,13077.4,12787.2,13331.2,13798.9,14226.3,14688.7,16108.6,17010.8,17726.7,16736.1
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",192.9,171.2,171.9,197.9,182.6,161.2,154.8,157.8,165.0,197.6,226.4,221.9,258.7,287.3,301.7,311.3,324.0
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",173.3,151.9,153.1,180.6,166.4,142.7,136.3,139.3,146.4,177.7,205.9,200.9,231.4,258.8,270.0,279.4,(NA)
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",19.6,19.4,18.8,17.3,16.3,18.5,18.5,18.4,18.6,20.0,20.5,21.1,27.3,28.5,31.7,32.0,(NA)
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",24.6,26.0,29.3,33.8,37.9,47.9,59.1,60.1,57.6,69.0,66.7,56.9,63.3,68.3,78.5,87.7,122.2
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(L),(L),(L),0.2,0.2,0.2,0.1,0.0,0.2,1.1,0.3,0.3,0.4,(L),(L),(NA)
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",23.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",213.2,220.4,288.3,290.2,262.2,276.9,267.9,261.7,298.4,363.4,393.2,325.9,335.8,341.3,459.3,469.1,426.8
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",587.2,604.2,656.1,724.8,782.0,774.5,759.6,738.9,687.0,664.7,707.5,742.8,797.8,900.5,984.5,1037.8,1010.2
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",3044.2,3108.0,3014.7,2991.2,3143.9,3773.3,3572.8,3451.4,3063.5,3218.2,3342.3,3559.8,3701.4,3924.4,3992.6,3865.3,4023.7
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",1795.1,1803.3,1697.6,1826.9,2005.8,2526.7,2304.6,2252.1,1772.5,2053.4,2329.1,2488.9,2534.4,2694.5,2679.1,2544.6,2706.7
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",20.6,21.2,21.6,22.6,24.6,28.5,28.0,26.8,22.2,22.0,21.6,16.7,17.1,20.8,22.9,24.0,(NA)
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",67.8,65.2,63.3,58.8,56.1,61.6,62.7,61.1,41.8,45.8,45.3,46.9,53.2,61.3,68.4,75.2,(NA)
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",509.9,566.4,527.7,679.8,782.3,1111.0,846.6,801.3,517.9,651.6,893.9,934.4,825.9,823.2,685.0,608.9,(NA)
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",237.9,218.0,192.9,192.6,200.4,201.6,226.6,225.2,199.7,187.6,213.3,213.2,210.8,208.2,212.9,209.3,(NA)
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",59.2,46.5,43.3,46.5,56.7,63.5,66.4,75.9,68.2,71.1,88.7,86.8,95.7,95.0,93.7,97.4,(NA)
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",204.2,225.7,128.6,53.0,53.0,55.3,63.0,60.3,68.6,78.2,81.8,90.9,98.4,103.5,99.3,93.6,(NA)
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",360.8,356.5,417.6,425.8,435.1,565.4,545.8,634.6,(D),(D),(D),(D),(D),848.3,889.8,(D),(NA)
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),193.6,235.6,213.4,(NA)
 "39740" ,"Reading, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6.2,4.6,3.4,(D),(NA)
