GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "48700" ,"Williamsport, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3086.4,3087.0,3215.7,3339.5,3553.9,3701.6,3646.7,3642.5,3699.1,3972.3,4473.2,4727.2,4942.3,5248.0,4955.9,4759.9,4993.4
 "48700" ,"Williamsport, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2630.9,2612.3,2717.7,2812.1,3010.3,3127.0,3048.1,3018.1,3048.2,3292.4,3778.7,4047.1,4255.0,4545.6,4239.3,4043.8,4262.1
 "48700" ,"Williamsport, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",22.9,21.1,31.6,44.1,40.5,41.3,26.8,15.5,6.3,16.2,30.0,32.3,28.8,27.2,12.5,10.7,11.3
 "48700" ,"Williamsport, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",17.5,15.6,26.4,38.9,34.7,34.3,22.1,11.5,3.9,11.7,24.0,23.8,18.1,16.6,1.6,0.0,(NA)
 "48700" ,"Williamsport, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",5.4,5.4,5.2,5.2,5.8,7.0,4.7,4.0,2.4,4.5,6.0,8.4,10.7,10.6,10.9,10.7,(NA)
 "48700" ,"Williamsport, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",20.2,19.1,20.7,21.4,18.7,21.5,28.3,35.1,44.4,136.1,310.9,428.6,465.8,519.2,436.4,294.4,373.4
 "48700" ,"Williamsport, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",1.1,1.1,0.7,0.2,0.1,(L),(L),0.1,(D),(D),72.0,95.3,132.2,(D),140.4,177.4,(NA)
 "48700" ,"Williamsport, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),18.6,21.5,28.3,34.9,40.1,(D),46.9,42.0,31.8,(D),53.1,51.2,(NA)
 "48700" ,"Williamsport, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(L),(L),0.0,(L),(D),72.1,192.0,291.4,301.8,350.8,242.9,65.8,(NA)
 "48700" ,"Williamsport, PA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",45.7,41.8,43.2,52.7,17.3,14.5,(D),(D),(D),14.1,13.2,(D),(D),(D),59.3,71.3,72.9
