GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "43620" ,"Sioux Falls, SD (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",8498.2,10128.9,10449.1,11181.4,11732.8,12559.4,13691.6,14085.4,13885.8,13806.5,14922.3,15948.5,15919.1,16835.7,17930.2,19015.8,19699.8
 "43620" ,"Sioux Falls, SD (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",7930.9,9520.0,9785.1,10473.8,10997.8,11795.0,12918.2,13266.3,13003.5,12854.1,13957.0,15002.5,15000.9,15837.0,16902.7,17926.0,18560.4
 "43620" ,"Sioux Falls, SD (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),360.3,(D)
 "43620" ,"Sioux Falls, SD (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",104.4,122.5,154.9,248.8,141.8,221.1,234.7,308.9,411.4,353.6,625.4,330.2,609.3,311.1,322.9,344.1,(NA)
 "43620" ,"Sioux Falls, SD (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16.2,(NA)
 "43620" ,"Sioux Falls, SD (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "43620" ,"Sioux Falls, SD (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(L),(L),(L),0.1,0.1,0.6,1.0,2.0,0.6,1.1,1.9,3.5,5.3,6.6,2.3,(D),(NA)
 "43620" ,"Sioux Falls, SD (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),13.4,(NA)
 "43620" ,"Sioux Falls, SD (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(L),(L),(L),0.0,0.0,0.1,0.1,0.3,0.1,0.1,(L),0.0,(D),(D),(D),(D),(NA)
 "43620" ,"Sioux Falls, SD (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "43620" ,"Sioux Falls, SD (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",375.6,396.9,427.4,461.1,517.1,541.4,566.7,536.2,535.5,478.0,473.5,509.7,563.2,633.9,695.2,751.1,787.0
