GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",12249.2,12232.0,13593.4,15775.5,16752.7,17992.3,19684.2,20383.2,18210.0,19485.4,20818.1,22198.6,24253.9,24268.3,22812.6,21474.8,21547.3
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",10225.1,10092.3,11339.7,13364.2,14229.4,15358.2,16929.4,17602.3,15362.3,16529.1,17887.3,19237.5,21320.8,21265.3,19704.3,18294.5,18296.2
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",66.8,68.7,179.3,241.1,115.6,65.4,159.2,199.0,178.1,(D),(D),(D),(D),(D),(D),201.2,209.9
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",21.4,26.3,136.3,196.3,74.5,20.0,115.9,158.3,144.0,389.0,409.0,155.5,233.1,80.7,2.8,158.8,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",45.4,42.3,43.0,44.8,41.1,45.4,43.4,40.7,34.1,(D),(D),(D),(D),(D),(D),42.4,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",1034.5,1010.9,1435.4,1606.2,2619.5,2887.6,3146.1,4502.3,2151.3,(D),(D),(D),(D),(D),(D),781.4,955.2
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",(D),(D),(D),(D),2255.6,(D),(D),(D),(D),(D),(D),(D),2047.8,(D),(D),311.0,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",15.3,11.6,12.5,19.7,16.8,(D),27.3,(D),(D),(D),(D),(D),(D),140.6,120.2,(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),347.1,(D),(D),(D),(D),(D),948.7,1134.9,1147.8,1179.2,718.9,(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",232.9,221.7,230.5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",694.5,775.6,885.4,960.1,1106.3,1303.4,1541.2,1700.5,1713.1,1597.0,1530.2,1624.0,1729.0,1878.8,2044.4,2374.0,2380.2
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",2534.2,2044.7,2290.1,3492.3,3057.3,3522.6,4220.2,2847.7,2883.0,3304.9,3890.1,4737.4,5757.2,5194.4,4347.1,4104.9,3770.3
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),528.9,(D),(D),(D),428.9,488.6,578.5,637.0,643.3,513.9,432.6,385.9
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),31.8,30.6,26.6,19.8,18.3,20.2,30.3,60.5,77.5,62.5,49.5,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),91.9,108.0,107.6,108.7,100.9,86.5,112.9,126.0,127.0,133.5,117.2,102.9,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),53.4,35.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),74.4,82.9,(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),70.4,56.9,(D),67.3,107.5,(D),(D),47.9,(D),45.2,49.3,46.6,(D),(D),43.8,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),2.0,4.7,4.1,5.3,6.6,6.4,7.0,4.3,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),67.9,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",6.8,6.6,6.1,8.3,7.5,8.1,6.8,5.8,4.2,6.2,6.0,3.8,3.3,2.8,(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),20.1,(D),(D),(D),(D),21.2,21.3,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),2993.7,(D),(D),(D),2876.0,3401.5,4158.9,5120.3,4551.2,3833.1,3672.2,3384.4
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),161.6,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),1.2,1.3,3.3,(D),(D),(D),(D),(D),(D),4.4,(D),5.6,4.4,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),0.4,0.5,(D),(D),0.2,(D),(D),0.3,0.3,(L),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",0.0,0.0,0.0,0.1,(L),0.0,0.2,(L),0.2,0.1,(D),(D),(D),(D),(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),13.4,10.1,8.5,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),1693.6,1733.8,2098.1,(D),(D),(D),(D),(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",(D),(D),(D),(D),445.4,674.4,462.7,416.3,466.2,576.6,573.4,643.4,669.0,679.5,(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),3.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),5.8,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",532.3,561.0,534.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1238.1,1209.1,1112.8,1132.0
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",35,"44-45","  Retail trade",779.3,811.9,870.7,874.7,960.5,1008.2,1037.3,1052.0,1028.1,1077.5,1117.2,1252.6,1309.9,1382.7,1393.9,1390.9,1406.3
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",36,"48-49","  Transportation and warehousing",297.0,291.1,286.8,317.4,303.7,346.3,339.8,393.8,360.4,399.1,494.0,563.1,612.1,(D),(D),(D),(D)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",37,"481","   Air transportation",(D),(D),(D),(D),7.5,(D),(D),(D),(D),8.5,10.0,(D),(D),(D),(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",38,"482","   Rail transportation",14.9,13.1,14.2,16.2,(D),19.6,20.3,22.5,19.1,19.5,22.3,23.7,20.4,20.1,19.3,18.6,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",39,"483","   Water transportation",(D),(D),3.5,4.1,(D),(D),(D),(D),(D),(D),(D),(D),22.2,(D),(D),20.5,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",40,"484","   Truck transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),112.4,146.4,186.5,(D),(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",41,"485","   Transit and ground passenger transportation",(D),27.5,26.0,(D),(D),(D),(D),(D),(D),(D),(D),(D),65.3,(D),(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",42,"486","   Pipeline transportation",46.3,19.1,21.1,18.9,11.6,13.0,14.4,(D),(D),22.7,42.5,52.8,70.6,77.8,69.9,44.9,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",43,"487-488, 492","   Other transportation and support activities",102.1,(D),(D),(D),(D),(D),(D),(D),170.9,188.0,(D),214.3,(D),(D),218.6,198.7,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",44,"493","   Warehousing and storage",16.4,(D),24.0,(D),28.4,30.0,27.0,(D),(D),(D),(D),(D),37.7,(D),(D),33.1,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",45,"51","  Information",357.6,381.1,387.9,445.3,464.4,379.3,372.2,349.1,372.7,369.5,336.6,351.2,380.1,370.0,409.2,381.1,365.6
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",46,"511","   Publishing industries (except Internet)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),47.4,(D),(D),(D),(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",47,"512","   Motion picture and sound recording industries",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),22.4,29.9,27.0,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",48,"515, 517","   Broadcasting (except Internet) and telecommunications",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",49,"518, 519","   Data processing, hosting, and other information services",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),10.3,11.2,13.2,16.4,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",50,"52, 53","  Finance, insurance, real estate, rental, and leasing",1073.6,1165.6,1364.8,1392.6,1468.4,1428.8,1524.2,1640.3,1723.1,1801.5,1966.2,2059.9,2056.0,2280.5,2263.3,1977.2,2009.5
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",51,"52","   Finance and insurance",364.8,400.1,442.1,439.8,452.1,470.7,447.5,436.7,449.3,452.2,460.1,475.2,529.6,559.2,613.0,594.5,588.3
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services",179.2,213.9,234.2,226.4,210.1,223.6,207.3,222.7,213.3,(D),(D),230.1,234.7,236.0,245.5,252.9,(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",53,"523","    Securities, commodity contracts, and other financial investments and related activities",(D),56.2,43.8,45.5,59.9,63.5,(D),30.8,57.7,(D),(D),(D),62.3,(D),(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",54,"524","    Insurance carriers and related activities",(D),115.1,144.9,154.1,163.9,172.1,(D),170.5,169.1,(D),(D),(D),203.2,234.6,290.6,(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",55,"525","    Funds, trusts, and other financial vehicles",12.3,14.9,19.2,13.8,18.3,11.6,12.5,12.7,9.2,(D),(D),9.9,29.4,(D),(D),(D),(NA)
 "18580" ,"Corpus Christi, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",56,"53","   Real estate and rental and leasing",708.8,765.6,922.7,952.8,1016.3,958.1,1076.8,1203.6,1273.8,1349.3,1506.2,1584.7,1526.4,1721.3,1650.3,1382.7,1421.3
