GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2520.4,2566.7,2704.4,2969.9,3086.3,3347.6,3372.3,3430.7,3363.4,3512.0,3629.8,3714.2,3977.4,3995.3,4178.9,4243.9,4407.3
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2242.0,2278.0,2401.1,2653.8,2755.5,3006.5,3008.7,3055.7,2974.9,3103.1,3225.6,3302.1,3555.2,3560.7,3721.4,3766.3,3915.0
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",2.0,9.6,16.6,25.0,12.7,13.0,22.9,5.7,6.2,7.3,14.0,23.4,48.7,37.5,63.0,37.4,60.6
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",0.0,7.4,13.9,21.5,9.1,7.6,18.1,0.0,0.0,0.0,5.3,13.2,37.7,24.7,48.8,23.0,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",2.0,2.2,2.7,3.5,3.6,5.4,4.9,5.7,6.2,7.3,8.8,10.2,11.0,12.8,14.2,14.4,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",23.4,21.3,17.7,17.7,35.4,69.0,56.2,86.1,49.1,66.5,95.7,94.0,77.1,115.3,78.5,36.7,61.5
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",16.3,14.3,14.8,13.1,28.2,44.7,(D),(D),38.4,50.7,(D),(D),(D),(D),(D),(D),(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),40.6,27.6,24.2,63.2,43.4,10.1,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",57.2,54.3,59.6,66.7,74.3,88.5,90.7,82.5,93.2,96.8,90.4,88.2,98.2,110.3,115.2,133.7,143.5
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",169.0,171.3,201.8,210.6,210.0,204.6,197.4,198.9,205.1,193.7,210.7,247.4,296.6,300.7,275.1,317.1,342.2
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",642.6,602.0,610.8,768.1,798.3,915.4,890.5,863.7,761.3,867.0,919.3,894.8,978.3,833.3,896.0,896.6,889.1
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",493.5,447.5,469.6,618.6,655.6,733.1,697.8,704.1,629.8,680.5,731.6,717.3,768.1,576.7,618.7,626.6,621.5
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",6.2,7.0,7.1,9.9,10.1,11.9,12.6,13.3,9.5,5.3,3.5,2.2,7.8,8.9,5.9,5.9,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",25.9,13.6,7.9,4.8,5.8,7.2,7.6,9.0,7.6,6.3,5.6,6.4,10.6,12.9,11.6,10.8,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),51.9,56.1,54.2,54.8,47.0,47.6,44.5,41.1,42.0,42.2,40.5,42.3,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",91.8,86.8,91.3,103.0,104.0,101.0,98.5,88.8,82.1,82.3,91.9,101.4,104.2,102.7,106.8,116.5,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",22.5,19.3,19.4,28.2,32.9,48.2,61.4,72.6,60.1,62.5,87.5,95.9,90.4,71.9,75.5,75.9,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",231.1,214.9,263.7,382.4,421.8,480.8,426.5,429.3,392.7,444.7,456.6,419.8,458.9,(D),(D),(D),(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),0.0,(L),(L),0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.1,(L),(L),(D),(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),32.6,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26.8,33.4,37.2,34.0,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),0.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),23.1,26.9,28.0,17.9,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",2.0,2.4,2.0,1.8,2.2,1.9,1.0,1.0,(D),1.1,0.9,0.7,0.6,(D),(D),1.0,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",29.0,(D),25.3,2.2,2.0,1.4,1.9,2.6,2.8,5.2,4.1,3.6,3.6,3.9,3.3,3.3,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",149.1,154.5,141.2,149.4,142.7,182.3,192.7,159.6,131.5,186.5,187.7,177.5,210.2,256.6,277.3,270.0,267.6
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),175.1,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),0.2,(D),(D),0.3,(D),(D),(D),(D),0.3,0.3,0.3,0.3,0.3,0.3,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),4.9,(D),(D),(D),(D),12.7,8.1,11.0,12.3,12.5,14.2,14.4,13.8,(D),(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",(D),(D),(D),6.7,6.4,6.9,7.0,6.3,6.5,(D),(D),(D),(D),(D),(D),0.1,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",1.3,1.5,1.8,1.9,2.6,3.1,2.3,1.5,1.1,1.0,0.9,1.1,1.2,1.3,0.8,0.9,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",9.8,3.9,2.0,4.5,3.4,25.5,45.6,29.1,9.4,9.4,13.9,16.0,43.7,74.8,48.8,(D),(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",5.4,(D),(D),10.4,9.0,18.2,16.0,16.8,12.8,14.0,12.5,10.2,13.2,18.4,18.0,18.1,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",53.3,55.0,53.4,61.4,62.9,57.5,54.4,37.6,30.5,28.5,27.2,32.9,33.3,30.9,37.9,35.1,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",76.4,80.6,83.6,97.6,104.7,150.4,171.1,192.6,191.9,142.3,132.9,141.8,165.6,182.2,191.8,193.8,209.8
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",35,"44-45","  Retail trade",262.2,264.1,278.6,285.7,303.3,319.9,326.4,331.6,339.1,350.1,338.0,327.7,337.0,352.6,373.4,389.3,396.5
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",36,"48-49","  Transportation and warehousing",63.8,60.0,64.5,66.8,70.0,79.6,81.3,91.4,81.2,81.7,88.8,108.1,98.8,106.9,101.8,97.6,86.7
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",37,"481","   Air transportation",0.0,0.0,0.0,0.0,(L),0.0,0.2,0.0,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",38,"482","   Rail transportation",16.2,15.4,16.6,18.1,19.7,21.0,20.7,21.7,16.4,17.1,19.8,23.1,21.2,22.6,20.3,19.5,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",39,"483","   Water transportation",0.1,(L),0.1,0.3,0.2,0.4,0.1,0.1,0.0,(L),0.0,0.0,0.4,0.5,0.0,0.0,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",40,"484","   Truck transportation",21.0,22.0,26.7,26.3,29.3,35.2,37.2,43.0,39.2,34.9,34.7,43.0,40.7,46.7,43.2,45.4,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",41,"485","   Transit and ground passenger transportation",2.0,2.2,2.6,3.5,4.1,4.5,4.0,3.2,3.2,(D),2.4,4.0,(D),(D),(D),1.0,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",42,"486","   Pipeline transportation",8.5,1.9,2.1,3.0,2.3,2.7,4.0,5.7,(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",43,"487-488, 492","   Other transportation and support activities",(D),(D),(D),(D),(D),13.7,13.2,14.5,15.8,17.2,20.2,21.8,(D),(D),(D),(D),(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",44,"493","   Warehousing and storage",(D),(D),(D),(D),(D),2.0,1.8,3.2,2.0,1.3,1.2,1.1,6.6,6.3,7.7,7.0,(NA)
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",45,"51","  Information",50.9,54.3,57.0,63.9,72.9,71.7,73.6,67.1,69.9,69.0,67.1,65.8,69.7,69.8,79.9,78.3,70.0
 "43300" ,"Sherman-Denison, TX (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",46,"511","   Publishing industries (except Internet)",7.8,10.9,10.3,10.3,12.8,10.0,11.4,10.3,9.9,10.1,8.9,8.5,8.8,7.9,9.0,9.0,(NA)
