GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "39340" ,"Provo-Orem, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",8958.2,9394.5,9978.3,11071.2,12341.7,13878.2,15247.3,15031.4,15058.9,15133.6,15996.2,16879.3,17947.8,19120.7,21842.8,23881.1,25625.3
 "39340" ,"Provo-Orem, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",7836.1,8221.4,8746.8,9762.5,10923.5,12370.0,13659.1,13323.5,13321.3,13323.4,14124.4,15001.7,16021.1,17161.4,19864.3,21797.6,23465.0
 "39340" ,"Provo-Orem, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "39340" ,"Provo-Orem, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",42.3,34.7,55.6,78.5,82.7,62.4,99.8,76.1,65.5,99.5,131.3,130.5,121.6,148.2,116.0,115.0,(NA)
 "39340" ,"Provo-Orem, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39340" ,"Provo-Orem, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),22.2,28.8,32.7,21.1,(D),44.7,43.3,39.3,52.3,40.9,(D),29.6
 "39340" ,"Provo-Orem, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,0.0,0.0,0.0,1.4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39340" ,"Provo-Orem, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),25.2,32.5,27.2,31.0,(NA)
 "39340" ,"Provo-Orem, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "39340" ,"Provo-Orem, UT (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",49.8,49.1,57.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
