GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",3310.5,3222.3,3308.8,3552.9,3765.6,3826.3,4034.2,4325.3,4727.9,4876.7,4599.4,4389.2,4558.4,4708.1,4931.5,5045.7,5135.8
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",2915.2,2813.4,2895.6,3121.4,3288.0,3343.8,3530.0,3799.1,4185.8,4333.7,4053.6,3827.6,3985.4,4123.9,4325.3,4408.4,4475.0
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",64.3,41.5,23.4,63.6,(D),41.7,49.8,35.2,34.5,61.5,118.9,70.2,101.8,131.2,(D),(D),(D)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",60.1,37.5,19.6,59.7,69.5,37.8,47.5,33.0,31.6,58.1,115.0,65.5,98.1,127.1,106.0,68.6,(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",4.2,4.0,3.9,3.9,(D),3.9,2.2,2.2,3.0,3.4,4.0,4.7,3.7,4.2,(D),(D),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5.7,(D),(D),(D),(D),(D)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.1,0.2,0.4,1.1,0.8,1.1,0.3,(L),0.0,0.0,(L),(L),0.1,0.1,(L),(L),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5.6,(D),(D),(D),(D),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.1,0.1,0.1,0.2,0.1,0.1,(L),0.0,0.0,0.0,(D),(L),(L),(L),(L),(L),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),75.3,75.1,73.2,74.0,(D)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",165.1,163.4,173.7,195.2,220.9,234.0,(D),(D),190.4,(D),(D),191.1,(D),(D),(D),(D),(D)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",(D),(D),(D),(D),(D),(D),1116.8,1132.8,(D),1519.5,1482.1,1451.6,1542.2,1532.8,1605.7,1674.8,1684.5
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),358.6,341.3,(D),369.0,354.0,318.1,363.4,369.9,382.5,391.8,410.5
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),10.4,(D),(D),(D),(D),(D),6.5,(D),(D),(D),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),16.2,18.1,15.5,14.8,19.8,23.3,22.1,18.4,(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",72.0,115.7,134.2,154.1,148.3,164.4,157.7,135.1,128.1,126.1,123.7,126.0,135.1,133.0,135.1,(D),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",(D),(D),(D),(D),51.9,57.2,(D),(D),(D),(D),(D),(D),(D),88.4,96.1,100.6,(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),20.3,25.5,22.3,24.9,(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),0.1,0.1,0.0,(L),(L),0.0,0.7,0.6,0.1,(D),(D),(D),0.0,0.0,(D),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",0.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),1.5,1.0,1.4,0.1,(L),0.0,(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),0.1,0.1,0.1,0.0,0.0,0.0,0.8,0.6,0.8,0.1,(L),(L),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3.9,5.9,6.5,(D),7.5,(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),52.6,(D),63.1,(D),(NA)
 "44420" ,"Staunton-Waynesboro, VA (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D),758.2,791.5,1083.9,1150.5,1128.2,1133.5,1178.8,1162.9,1223.2,1283.1,1274.0
