GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",4357.0,4633.1,4856.3,5157.2,5626.0,5889.9,6140.7,6042.6,6166.6,6433.9,6654.8,7146.7,7194.1,7556.4,8076.9,8173.8,8535.7
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",3771.3,4014.6,4204.5,4476.4,4917.0,5150.1,5363.7,5215.8,5309.3,5560.2,5775.5,6203.0,6271.1,6597.5,7129.0,7223.7,7559.6
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),64.9,78.5,113.4,89.2,78.7,102.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",64.2,57.8,70.3,104.0,79.7,66.6,91.7,105.1,46.3,114.6,172.1,135.1,123.8,123.3,101.9,49.6,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),7.2,8.2,9.4,9.5,12.1,11.3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",0.0,0.0,0.1,0.1,(L),0.1,(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",0.0,0.0,(L),(L),(L),(L),(L),(L),(L),(L),0.1,0.2,0.3,0.4,0.1,0.0,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",0.0,0.0,0.1,(L),(L),(L),(L),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",0.0,0.0,(L),(L),(L),(L),0.0,(L),0.0,(L),(D),(D),(D),0.1,(L),0.0,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),40.5,41.5,47.6,47.8
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",233.7,227.8,248.9,253.0,253.0,249.1,316.5,303.9,356.2,348.0,337.8,327.5,314.1,333.0,368.2,378.6,408.5
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",697.3,737.5,814.3,878.1,1136.9,1249.9,1233.1,995.3,937.4,1035.6,1046.0,1157.9,1175.7,1246.6,1249.6,1220.6,1266.5
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",407.5,468.0,548.8,575.9,843.6,836.4,745.4,579.6,551.8,642.6,589.8,633.1,639.6,650.9,633.1,635.1,676.1
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9.5,(D),(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",15,"327","    Nonmetallic mineral product manufacturing",27.0,27.3,32.4,27.7,24.6,14.5,8.3,12.6,(D),(D),(D),(D),12.3,14.3,17.4,17.7,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",17,"332","    Fabricated metal product manufacturing",52.6,76.7,91.6,98.1,102.2,137.0,116.9,117.0,116.3,119.4,124.7,136.8,136.1,135.5,136.2,131.8,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",18,"333","    Machinery manufacturing",55.8,43.1,51.6,63.3,75.9,81.0,80.9,83.7,77.9,105.2,94.3,114.9,99.1,107.6,107.9,110.9,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),247.6,234.0,(D),(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),14.8,13.1,10.2,(D),(D),(D),(D),(D),(D),(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),65.9,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),1.7,1.5,(L),0.0,0.0,(L),(L),0.0,0.3,0.3,0.2,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",23,"337","    Furniture and related product manufacturing",18.2,19.6,17.7,16.2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",24,"339","    Miscellaneous manufacturing",17.5,17.0,15.9,17.3,20.3,22.7,21.7,21.1,19.2,20.5,17.0,18.7,24.6,(D),(D),20.5,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",25,"311-316,322-326","   Nondurable goods manufacturing",289.8,269.5,265.5,302.2,293.3,413.6,487.7,415.7,385.6,393.0,456.2,524.8,536.1,595.7,616.6,585.6,590.4
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),197.6,193.7,(D),(D),(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",28,"315-316","    Apparel, leather, and allied product manufacturing",32.3,2.4,2.0,2.3,(D),(D),(D),3.3,2.4,2.9,2.1,1.7,(D),(D),(D),1.7,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",29,"322","    Paper manufacturing",(D),(D),(D),(D),73.6,91.7,101.9,85.1,98.1,87.3,91.9,98.6,115.1,136.5,(D),(D),(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",30,"323","    Printing and related support activities",9.6,14.8,16.0,19.6,15.4,22.4,23.2,22.2,19.7,19.4,24.2,26.5,28.2,30.2,29.5,30.5,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),2.8,0.1,8.1,19.2,14.0,4.2,3.4,20.2,8.6,12.4,11.3,13.0,5.9,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",32,"325","    Chemical manufacturing",(D),(D),(D),45.1,(D),(D),145.5,(D),(D),(D),(D),(D),70.6,108.4,91.3,77.3,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",33,"326","    Plastics and rubber products manufacturing",82.4,79.0,71.4,75.3,83.8,91.3,83.8,77.2,85.7,98.8,92.6,119.6,110.6,114.0,152.7,142.3,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",34,"42","  Wholesale trade",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),532.6
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",35,"44-45","  Retail trade",467.3,460.0,478.1,480.1,481.3,501.0,497.1,498.3,503.2,522.5,552.6,579.9,610.9,634.1,664.4,673.6,680.8
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",36,"48-49","  Transportation and warehousing",(D),174.9,182.3,198.4,216.2,223.7,212.0,209.3,(D),227.1,233.2,239.8,263.0,(D),(D),(D),300.4
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",37,"481","   Air transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",38,"482","   Rail transportation",12.1,11.3,11.6,12.3,13.2,13.7,14.8,17.6,15.1,17.0,18.7,18.1,34.3,44.6,37.7,35.8,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",39,"483","   Water transportation",0.4,0.0,0.1,0.1,0.0,0.0,(L),(L),0.0,0.0,0.0,0.0,(L),0.0,(L),(L),(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",40,"484","   Truck transportation",73.9,81.1,84.9,89.6,92.8,95.6,86.1,83.1,77.8,89.8,96.6,101.2,98.5,103.3,106.3,98.8,(NA)
 "20740" ,"Eau Claire, WI (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",41,"485","   Transit and ground passenger transportation",13.8,13.6,14.7,15.3,16.3,15.4,18.3,18.9,22.1,22.8,22.4,24.5,28.0,26.2,29.0,28.8,(NA)
