GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16940" ,"Cheyenne, WY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",1,"...","All industry total",2697.6,2878.2,3148.4,3478.0,3809.6,4411.6,4769.9,5445.6,4576.3,4819.3,5279.8,5357.5,5533.4,5486.8,5675.9,5649.1,5754.4
 "16940" ,"Cheyenne, WY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",2,"..."," Private industries",1878.0,1978.4,2178.1,2449.2,2717.1,3264.1,3520.5,4119.2,3207.3,3403.5,3836.4,3849.4,3973.7,3898.3,4061.8,4003.7,4114.7
 "16940" ,"Cheyenne, WY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "16940" ,"Cheyenne, WY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",4,"111-112","   Farms",37.0,14.0,26.6,29.1,31.2,47.2,91.7,105.2,89.0,122.4,147.6,114.0,97.1,82.9,51.9,66.7,(NA)
 "16940" ,"Cheyenne, WY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "16940" ,"Cheyenne, WY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",6,"21","  Mining, quarrying, and oil and gas extraction",33.8,38.0,43.9,41.2,141.3,317.0,(D),(D),(D),(D),(D),(D),245.1,145.8,78.7,66.1,119.7
 "16940" ,"Cheyenne, WY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",7,"211","   Oil and gas extraction",23.0,26.5,33.2,28.4,117.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15.8,(NA)
 "16940" ,"Cheyenne, WY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18.5,(NA)
 "16940" ,"Cheyenne, WY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),9.3,5.7,14.4,4.9,7.5,21.2,28.2,31.3,57.0,37.0,31.8,(NA)
 "16940" ,"Cheyenne, WY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",10,"22","  Utilities",24.0,25.1,25.6,27.4,29.0,31.9,36.3,41.7,42.1,45.0,47.7,49.3,51.6,57.8,67.0,67.8,64.3
 "16940" ,"Cheyenne, WY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",11,"23","  Construction",134.9,146.4,155.6,177.7,180.3,208.9,214.0,222.6,206.3,193.0,212.6,238.9,284.1,286.6,295.7,278.4,285.5
 "16940" ,"Cheyenne, WY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",12,"31-33","  Manufacturing",194.4,162.1,238.9,321.5,397.2,507.4,694.9,873.6,332.7,399.3,562.3,466.0,379.5,353.3,475.8,363.4,(D)
 "16940" ,"Cheyenne, WY (Metropolitan Statistical Area)", ,MAGDP2,"Gross domestic product (GDP) by metropolitan area","Millions of current dollars",13,"321,327-339","   Durable goods manufacturing",38.5,38.2,37.9,42.6,42.9,40.7,45.6,59.8,49.2,43.7,56.3,51.9,48.7,54.5,60.3,56.4,(D)
