GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",91.828,88.931,92.159,98.451,100.845,100.814,104.809,105.508,100.000,102.149,99.103,96.496,91.730,90.489,88.859,89.672,90.791
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",101.676,93.912,97.125,104.715,104.933,103.545,107.325,109.577,100.000,105.582,102.555,102.618,99.306,97.150,94.835,96.384,98.388
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",54.024,36.020,46.252,54.218,93.195,53.519,42.320,46.746,100.000,108.120,38.834,64.849,106.745,111.704,132.244,117.367,(NA)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",11.854,11.546,13.319,24.333,12.369,12.120,8.287,0.000,100.000,53.825,0.000,25.395,0.000,0.000,5.191,68.883,(NA)
 "11500" ,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",112.901,110.953,101.674,105.901,104.116,110.406,109.806,103.532,100.000,110.585,108.576,101.012,96.356,92.683,89.973,95.181,94.333
