GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "35980" ,"Norwich-New London, CT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",87.471,94.582,100.253,114.791,111.777,113.375,114.038,104.569,100.000,100.717,98.485,96.929,94.621,90.919,93.601,92.902,95.180
 "35980" ,"Norwich-New London, CT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",91.428,100.155,107.896,126.106,118.231,119.174,119.246,104.912,100.000,102.264,100.291,98.500,95.453,91.025,94.608,93.651,97.329
 "35980" ,"Norwich-New London, CT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",106.143,(D),109.519,94.782,101.982,100.742,81.301,79.125,100.000,86.357,69.294,(D),72.744,75.237,68.255,70.097,65.002
 "35980" ,"Norwich-New London, CT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",96.075,113.690,102.622,89.468,98.712,97.505,77.695,76.075,100.000,86.113,69.273,66.407,71.879,73.736,67.885,66.898,(NA)
 "35980" ,"Norwich-New London, CT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",225.561,(D),194.997,160.342,141.355,139.714,125.925,114.992,100.000,89.005,69.158,(D),85.317,96.843,76.113,105.186,(NA)
 "35980" ,"Norwich-New London, CT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",64.020,(D),64.127,63.974,47.257,98.258,115.738,107.387,100.000,120.284,80.113,(D),135.740,168.320,1.455,0.273,0.126
 "35980" ,"Norwich-New London, CT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,0.000,0.000,0.000,0.000,21.599,69.588,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "35980" ,"Norwich-New London, CT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35980" ,"Norwich-New London, CT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "35980" ,"Norwich-New London, CT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",235.104,209.390,200.964,184.965,140.537,136.515,133.299,96.530,100.000,145.612,210.591,101.363,101.407,85.652,114.345,141.065,145.150
 "35980" ,"Norwich-New London, CT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",109.225,92.570,103.540,139.439,134.749,116.952,114.193,112.742,100.000,102.236,107.647,108.785,99.043,96.373,97.385,102.357,96.770
 "35980" ,"Norwich-New London, CT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",125.717,147.641,175.043,253.815,212.645,212.572,197.742,121.807,100.000,112.848,97.245,106.455,105.400,101.162,112.627,102.006,102.374
 "35980" ,"Norwich-New London, CT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
