GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",81.747,93.985,98.153,114.234,114.873,113.265,113.468,102.869,100.000,97.459,98.509,105.187,97.527,104.048,109.082,110.809,114.676
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",77.154,91.758,97.714,119.275,121.428,119.052,118.312,103.554,100.000,95.434,95.132,100.001,89.325,98.531,106.759,108.820,114.655
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",56.075,8.673,44.413,42.074,44.873,86.119,54.796,69.749,100.000,131.693,119.917,141.124,98.445,196.435,273.537,170.240,(NA)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,0.000,0.000,0.000,7.865,17.877,64.385,100.000,150.542,118.108,73.099,30.398,81.155,(D),(D),(NA)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "18880" ,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",59.094,65.799,71.050,85.209,90.008,111.910,110.069,105.862,100.000,123.635,115.822,103.876,105.664,96.059,94.890,98.662,97.101
