GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",94.498,93.836,95.836,101.348,103.385,109.138,107.481,103.544,100.000,101.941,102.870,103.977,106.764,105.592,108.740,109.762,111.657
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",92.005,91.567,95.269,103.014,108.445,115.332,111.963,105.711,100.000,102.617,104.160,104.841,108.364,108.311,113.361,115.334,118.004
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",117.475,107.051,171.021,114.228,132.684,171.185,78.390,103.977,100.000,185.687,165.711,174.488,158.354,91.547,125.213,142.159,141.488
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",139.253,121.953,231.240,130.284,161.861,230.916,79.612,122.926,100.000,198.576,183.681,185.528,183.758,71.461,132.282,183.307,(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",89.001,86.667,96.400,96.659,98.345,101.356,79.596,80.735,100.000,171.150,143.989,163.940,124.761,123.397,126.045,110.080,(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",272.948,318.518,202.121,169.095,102.635,109.545,115.024,41.094,100.000,92.372,99.779,122.507,64.005,197.695,246.489,288.550,223.936
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",64.739,75.773,77.972,89.617,89.609,106.338,102.582,100.351,100.000,228.379,227.362,215.376,207.889,190.673,193.783,(D),(D)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",135.718,123.055,123.750,131.179,138.953,153.271,132.005,114.088,100.000,84.583,84.063,98.165,76.628,73.612,75.852,79.297,81.960
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",126.163,115.063,113.863,119.277,120.019,120.414,128.853,116.718,100.000,109.165,119.495,119.678,140.976,124.450,144.612,147.074,141.495
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",95.616,92.088,99.876,104.374,137.085,139.323,142.676,108.426,100.000,104.551,113.457,(D),135.355,145.247,144.886,144.490,149.549
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),203.581,199.230,218.262,119.530,100.000,109.786,111.760,(D),146.806,157.494,141.866,132.446,(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",157.720,184.985,205.579,183.736,235.203,197.210,173.245,133.107,100.000,98.636,94.401,(D),107.350,109.379,112.378,109.818,(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),100.019,(D),100.000,398.143,514.736,(D),541.392,679.577,695.652,869.645,(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),45.680,75.839,(D),100.000,113.137,105.715,(D),109.965,121.611,(D),140.667,(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",279.854,268.309,259.215,321.838,304.854,331.574,203.437,110.756,100.000,119.018,169.605,(D),222.604,211.668,225.522,218.551,(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",24,"339","    Miscellaneous manufacturing",61.105,66.334,74.765,78.410,75.274,78.608,87.211,82.588,100.000,83.010,85.565,(D),110.755,111.283,132.920,107.603,(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",25,"311-316,322-326","   Nondurable goods manufacturing",145.593,129.781,123.023,129.027,109.733,108.980,120.540,121.325,100.000,111.658,122.727,(D),144.038,114.655,144.912,148.798,137.997
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",29,"322","    Paper manufacturing",(D),144.433,136.538,155.286,(D),(D),(D),(D),100.000,88.454,(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",30,"323","    Printing and related support activities",(D),101.898,92.147,120.833,126.899,135.706,126.024,124.364,100.000,93.288,85.328,(D),89.044,89.229,80.818,75.854,(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",31,"324","    Petroleum and coal products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",32,"325","    Chemical manufacturing",157.336,127.064,122.256,118.276,90.576,90.444,111.657,125.596,100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",33,"326","    Plastics and rubber products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",34,"42","  Wholesale trade",98.502,96.224,98.116,109.878,124.991,122.147,131.006,118.028,100.000,93.595,90.342,90.798,94.372,97.155,103.969,108.334,116.505
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",35,"44-45","  Retail trade",91.601,96.932,103.954,105.648,118.460,117.347,113.158,105.425,100.000,100.094,103.124,103.927,105.011,107.602,111.152,116.148,119.591
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",36,"48-49","  Transportation and warehousing",60.543,62.266,67.548,76.822,87.492,81.105,79.273,100.488,100.000,73.433,71.867,66.146,65.622,65.915,65.157,(D),(D)
 "37860" ,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",37,"481","   Air transportation",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
