GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",81.659,88.947,93.239,98.706,104.840,112.223,106.072,99.948,100.000,98.714,95.345,96.725,94.281,90.015,93.908,95.316,96.488
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",80.174,88.644,93.437,99.195,107.636,115.919,106.843,99.806,100.000,98.852,95.424,96.988,94.595,89.942,95.238,96.868,98.134
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",50.810,61.029,52.651,48.607,75.715,105.868,65.029,71.634,100.000,99.410,74.007,78.740,62.716,71.867,92.244,86.350,(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",1.711,3.773,4.715,3.081,1.776,2.122,0.000,3.562,100.000,42.188,5.466,2.110,0.421,2.372,0.000,1.057,(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",82.288,87.296,93.848,113.235,115.704,121.354,105.370,98.605,100.000,83.660,153.108,220.483,209.157,75.520,69.892,73.340,82.438
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",125.828,133.615,158.858,169.139,187.219,178.090,160.011,130.050,100.000,67.991,62.886,69.360,65.636,65.790,76.450,83.593,82.682
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",231.437,249.594,239.800,249.494,217.344,232.241,246.010,112.732,100.000,115.598,141.396,143.218,147.763,163.161,184.359,187.912,181.848
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",135.423,160.109,163.361,143.766,205.999,222.837,252.667,146.010,100.000,123.411,148.584,143.279,152.553,147.325,150.359,180.676,218.411
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",109.100,118.931,139.259,161.540,282.778,288.688,330.324,114.102,100.000,145.821,161.609,187.231,234.106,202.490,197.877,193.281,(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",15.453,73.298,174.763,201.852,266.542,327.028,283.956,183.876,100.000,73.494,77.794,75.273,106.354,98.940,117.280,122.078,(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",4611.765,(D),4300.260,631.453,569.205,564.123,534.274,(D),100.000,38.666,128.343,158.435,265.562,(D),279.034,521.763,(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(D),(D),(D),(D),(D),0.000,(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(D),0.000,0.000,0.000,0.000,(D),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",68.655,90.378,163.495,265.950,311.600,320.317,259.959,214.398,100.000,84.034,131.804,79.042,104.012,122.677,155.516,148.026,(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",24,"339","    Miscellaneous manufacturing",0.000,(D),(D),(D),33.617,36.875,66.737,63.266,100.000,92.902,89.990,59.824,30.467,30.665,(D),(D),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",25,"311-316,322-326","   Nondurable goods manufacturing",297.249,311.791,293.603,322.146,228.119,241.964,245.322,93.553,100.000,111.252,137.355,142.847,144.940,171.282,202.683,188.934,153.841
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),646.371,(D),(D),152.466,279.377,234.471,(D),100.000,(D),112.043,(D),(D),(D),(D),(D),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),20.561,16.816,18.040,21.649,100.000,98.536,(D),(D),(D),(D),(D),69.273,(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",29,"322","    Paper manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",30,"323","    Printing and related support activities",54.656,37.427,(D),(D),(D),143.478,146.870,124.894,100.000,127.048,149.911,182.374,174.760,168.037,142.218,119.791,(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",31,"324","    Petroleum and coal products manufacturing",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(D),(D),(D),(D),(D),(D),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",32,"325","    Chemical manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",33,"326","    Plastics and rubber products manufacturing",137.409,140.151,141.474,139.231,131.358,118.822,112.486,86.219,100.000,99.389,114.937,119.419,107.723,105.221,106.798,123.838,(NA)
 "42700" ,"Sebring, FL (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",34,"42","  Wholesale trade",97.360,121.492,114.376,103.655,103.793,104.324,117.158,112.001,100.000,86.643,76.495,91.835,80.238,85.224,88.279,88.389,96.310
