GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",86.586,89.249,91.696,99.301,102.034,103.799,106.470,103.280,100.000,107.587,110.116,123.977,115.290,119.857,125.151,127.538,131.211
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",86.683,89.447,91.936,100.011,102.749,104.552,107.499,103.901,100.000,108.088,110.968,125.834,116.373,121.081,126.739,129.205,133.196
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",202.395,227.554,228.574,248.170,206.258,195.775,189.745,192.291,100.000,189.257,242.256,265.920,334.139,345.560,402.566,411.501,(NA)
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),0.000,2301.336,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",139.007,134.326,124.192,137.449,116.689,112.060,118.612,104.191,100.000,114.620,136.337,126.774,116.228,110.866,104.187,114.074,108.941
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",95.178,97.712,105.223,106.993,106.092,99.123,97.512,98.296,100.000,107.438,115.682,120.810,108.527,102.553,103.191,101.508,93.273
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",107.668,112.451,109.420,129.392,133.025,134.088,132.013,121.350,100.000,118.884,110.950,155.441,123.490,137.502,144.405,134.401,145.789
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",106.878,111.120,105.484,132.872,140.641,143.764,141.550,128.586,100.000,120.354,110.590,165.582,123.504,140.921,146.980,134.829,148.304
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",100.702,94.793,104.493,110.008,162.507,134.521,141.663,134.185,100.000,100.485,115.499,118.517,117.664,117.900,146.378,144.653,(NA)
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",155.819,149.755,145.580,188.495,159.066,165.613,148.170,139.433,100.000,88.230,103.609,122.422,112.283,121.309,144.347,139.518,(NA)
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",21.710,39.160,37.748,44.724,100.406,91.319,98.685,91.933,100.000,90.489,97.897,76.882,102.764,103.494,137.238,135.016,(NA)
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",139.376,143.202,131.577,151.857,149.000,153.953,141.449,143.137,100.000,106.716,119.119,138.275,145.720,152.938,153.162,139.560,(NA)
 "20220" ,"Dubuque, IA (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",90.141,97.121,89.277,123.383,126.204,142.010,147.537,128.772,100.000,128.517,103.756,187.366,118.776,143.953,150.923,136.795,(NA)
