GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",92.824,96.951,97.961,102.823,104.006,104.637,101.980,103.248,100.000,102.500,103.672,106.162,107.619,112.525,112.960,117.327,120.195
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",93.532,98.097,99.307,104.833,105.946,106.511,103.635,104.510,100.000,103.263,104.842,108.024,109.969,115.731,116.012,120.580,123.978
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",55.565,71.071,73.543,84.454,86.026,105.189,75.546,117.789,100.000,113.260,97.805,112.165,85.192,130.275,117.575,110.068,(NA)
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",123.587,154.087,151.918,214.815,205.405,194.171,156.847,125.260,100.000,133.461,(D),150.737,209.424,264.608,(D),(D),328.082
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",34.345,48.773,37.601,127.282,82.054,59.687,42.401,12.439,100.000,0.000,299.265,743.937,828.940,692.638,(D),(D),(NA)
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",123.650,154.150,151.960,214.696,(D),(D),(D),(D),100.000,133.517,(D),150.551,208.812,264.274,(D),(D),(NA)
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",0.000,77.586,208.956,1099.919,(D),(D),(D),(D),100.000,0.000,0.000,0.000,3677.248,2078.646,44.590,296.062,(NA)
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",(D),(D),(D),41.729,39.343,57.352,101.170,108.178,100.000,(D),127.204,141.959,136.375,125.689,116.667,124.936,122.423
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",113.198,115.835,124.970,132.343,122.466,116.872,115.702,107.660,100.000,107.065,108.376,119.952,120.334,121.936,131.084,(D),142.504
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",106.724,104.719,116.166,135.347,136.357,131.581,117.607,115.557,100.000,102.500,106.325,110.990,107.978,112.501,108.343,112.897,113.849
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",97.764,95.652,(D),114.466,115.435,(D),123.215,126.573,100.000,113.142,121.773,130.242,136.481,138.245,133.432,137.036,142.863
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",(D),(D),76.669,74.317,59.729,65.318,84.734,87.714,100.000,111.933,115.575,111.188,(D),(D),(D),(D),(NA)
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",128.471,112.556,105.542,109.779,113.010,117.004,128.906,126.015,100.000,121.264,137.366,142.587,128.564,135.021,124.558,121.296,(NA)
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",(D),(D),114.481,139.965,186.654,217.198,187.075,171.480,100.000,103.378,108.396,132.573,166.173,149.870,155.460,171.558,(NA)
 "41060" ,"St. Cloud, MN (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
