GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",86.755,88.392,91.840,93.902,94.189,96.804,98.961,100.797,100.000,102.157,102.695,99.903,98.527,102.679,105.208,104.262,104.894
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",82.460,83.818,88.206,91.149,92.098,95.153,98.916,101.199,100.000,101.826,102.677,98.431,97.769,103.329,107.664,106.063,107.167
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),(D),(D),(D),100.000,118.063,111.375,96.312,(D),88.325,103.630,70.505,62.583
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",27.541,19.971,32.654,87.396,108.379,143.699,94.738,101.136,100.000,119.028,110.580,92.353,97.710,82.152,97.438,61.560,(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),(D),(D),(D),100.000,97.793,134.997,212.117,(D),263.223,284.773,281.485,(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),100.000,128.183,203.871,466.254,(D),1045.794,823.080,564.953,621.048
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",98.755,103.963,99.180,101.746,95.852,93.153,101.176,102.902,100.000,99.111,103.837,97.098,97.221,85.255,81.286,88.754,91.604
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",92.189,82.138,89.160,92.501,94.093,96.354,99.767,95.146,100.000,105.573,103.090,94.157,84.661,93.000,91.629,93.614,91.361
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",74.799,94.896,114.526,115.542,102.678,127.345,145.905,117.096,100.000,121.657,134.173,137.587,131.089,189.108,234.966,216.508,185.138
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",59.502,63.901,71.205,78.075,87.474,90.882,96.550,108.359,100.000,98.143,121.623,115.765,139.559,177.366,203.876,218.885,220.495
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",73.762,77.126,78.920,80.533,84.130,70.135,74.259,100.790,100.000,91.640,84.035,77.302,74.409,66.184,63.473,66.476,(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",(D),(D),(D),(D),(D),(D),(D),1369.792,100.000,(D),(D),(D),(D),(D),(D),43956.394,(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",146.724,156.242,164.824,112.504,99.362,(D),0.000,95.190,100.000,0.000,0.000,40.392,72.124,312.248,251.899,98.712,(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",0.000,0.000,(D),(D),(D),0.000,0.000,0.000,0.000,0.000,0.000,0.000,(D),(D),(D),(D),(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "24500" ,"Great Falls, MT (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",79.006,71.706,76.203,90.452,98.016,110.634,96.578,132.679,100.000,110.477,123.969,116.766,83.599,80.159,85.315,72.068,(NA)
