GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",94.431,98.592,99.590,100.612,102.679,105.245,103.035,105.216,100.000,103.713,105.566,119.216,111.669,110.230,109.413,110.531,107.510
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",90.878,96.258,97.453,98.891,101.716,105.652,103.360,106.208,100.000,105.468,108.381,125.413,116.122,114.478,113.926,115.582,112.317
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),52.943,63.177,(D),(D),100.000,44.904,64.744,(D),56.764,(D),55.247,(D),50.080
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",80.565,118.799,119.102,147.249,147.994,165.432,105.721,87.899,100.000,94.448,146.309,121.125,123.967,102.882,126.352,118.479,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),12.666,19.413,(D),(D),100.000,26.290,33.343,(D),31.469,(D),28.545,(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),222.775,158.415,(D),(D),100.000,67.658,85.450,(D),47.522,(D),313.243,(D),133.369
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",7065.215,6868.696,4835.755,1974.213,(D),(D),41.258,232.407,100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",185.405,185.509,167.252,151.207,152.256,159.998,(D),105.674,100.000,193.618,184.007,196.990,183.264,179.310,147.881,158.239,168.531
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",121.466,121.129,119.300,116.673,110.513,102.214,98.857,98.535,100.000,101.792,99.240,97.882,98.164,96.758,92.506,86.600,81.552
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",96.376,71.660,73.229,94.344,96.088,127.449,117.066,122.222,100.000,138.651,123.447,117.685,125.556,125.799,91.381,133.208,110.950
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",13,"321,327-339","   Durable goods manufacturing",91.783,73.758,77.224,115.731,132.193,135.940,129.375,140.103,100.000,100.186,101.694,94.652,84.034,83.969,83.160,86.335,82.145
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",14,"321","    Wood product manufacturing",126.207,126.709,116.057,109.305,115.481,102.850,85.138,125.858,100.000,(D),(D),(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",15,"327","    Nonmetallic mineral product manufacturing",237.098,90.287,86.670,87.996,72.288,43.311,57.232,106.393,100.000,110.321,95.099,86.752,92.390,77.777,73.730,76.300,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",16,"331","    Primary metal manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",17,"332","    Fabricated metal product manufacturing",122.379,121.725,116.288,100.748,145.181,188.781,166.609,158.149,100.000,96.935,101.163,83.392,79.613,83.532,81.455,84.430,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",18,"333","    Machinery manufacturing",89.159,94.839,85.529,101.408,108.572,131.346,148.385,154.799,100.000,91.287,96.989,87.546,84.237,84.549,78.720,75.179,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",19,"334","    Computer and electronic product manufacturing",61.059,33.800,46.667,62.261,74.135,68.118,99.634,125.886,100.000,138.255,162.446,170.942,134.908,143.743,141.876,157.334,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",20,"335","    Electrical equipment, appliance, and component manufacturing",78.578,82.325,84.413,0.000,76.906,103.727,117.310,133.271,100.000,105.522,58.406,52.711,57.501,51.718,53.013,45.594,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",22,"3364-3369","    Other transportation equipment manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",23,"337","    Furniture and related product manufacturing",136.230,140.101,87.157,178.602,174.683,198.130,211.607,226.374,100.000,78.247,82.890,48.150,55.157,63.305,58.311,55.187,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",24,"339","    Miscellaneous manufacturing",39.965,42.668,62.798,226.298,235.784,214.628,120.610,118.605,100.000,55.346,37.129,17.895,14.482,14.486,20.619,22.131,(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",25,"311-316,322-326","   Nondurable goods manufacturing",103.614,72.502,72.598,80.820,71.532,122.895,109.789,111.375,100.000,161.364,136.737,131.546,149.000,149.404,97.347,159.408,127.751
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",26,"311-312","    Food and beverage and tobacco products manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",27,"313-314","    Textile mills and textile product mills",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",28,"315-316","    Apparel, leather, and allied product manufacturing",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "45940" ,"Trenton, NJ (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",29,"322","    Paper manufacturing",188.776,167.731,171.191,170.196,148.861,140.814,113.075,98.062,100.000,87.430,90.706,106.953,86.696,83.417,92.757,104.197,(NA)
