GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42140" ,"Santa Fe, NM (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",92.261,105.965,96.730,95.949,97.488,104.167,103.595,112.467,100.000,102.307,99.884,97.168,99.999,94.379,96.070,94.532,96.072
 "42140" ,"Santa Fe, NM (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",94.446,111.835,99.750,98.418,100.525,107.806,106.085,116.629,100.000,104.728,102.426,99.164,103.200,96.213,98.892,98.462,100.742
 "42140" ,"Santa Fe, NM (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",2479.219,2567.995,1935.117,(D),(D),4172.701,1201.421,670.286,100.000,517.574,450.740,689.443,588.633,569.332,772.803,803.020,960.032
 "42140" ,"Santa Fe, NM (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",2250.003,2328.692,1645.364,1190.430,1614.348,3608.089,801.569,585.738,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "42140" ,"Santa Fe, NM (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",0.000,0.000,0.000,(D),(D),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,(NA)
 "42140" ,"Santa Fe, NM (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "42140" ,"Santa Fe, NM (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42140" ,"Santa Fe, NM (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",62.602,59.124,59.884,59.308,61.650,166.423,165.979,128.096,100.000,99.308,97.016,107.955,91.761,111.483,165.193,179.247,(NA)
 "42140" ,"Santa Fe, NM (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "42140" ,"Santa Fe, NM (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",90.989,108.682,104.890,112.831,85.018,92.490,90.120,82.346,100.000,110.042,110.596,91.976,94.624,96.497,89.302,99.145,93.412
 "42140" ,"Santa Fe, NM (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",118.294,110.537,111.452,112.116,122.696,136.267,142.092,126.802,100.000,83.593,77.917,74.304,79.092,67.454,68.997,71.141,68.631
 "42140" ,"Santa Fe, NM (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",155.351,142.799,191.684,260.030,227.603,199.882,194.626,146.149,100.000,143.617,151.832,179.441,134.994,124.515,140.449,133.116,129.842
