GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "10420" ,"Akron, OH (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",1,"...","All industry total",94.828,97.760,99.104,103.242,104.301,103.341,103.956,104.824,100.000,101.125,100.234,99.922,102.439,107.678,111.913,112.523,113.225
 "10420" ,"Akron, OH (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",2,"..."," Private industries",93.885,97.078,98.558,103.336,104.592,103.964,104.743,105.448,100.000,101.204,100.528,100.109,103.279,109.766,115.069,115.814,116.457
 "10420" ,"Akron, OH (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing, and hunting",(D),(D),(D),(D),(D),85.444,80.604,62.343,100.000,74.678,112.814,95.015,86.147,89.460,136.785,163.069,133.093
 "10420" ,"Akron, OH (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",4,"111-112","   Farms",65.953,121.172,90.526,69.014,101.052,81.033,84.087,62.309,100.000,74.384,111.821,85.859,68.501,77.655,129.533,155.768,(NA)
 "10420" ,"Akron, OH (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",(D),(D),(D),(D),(D),100.918,64.990,62.471,100.000,75.713,116.693,138.951,171.583,148.143,184.896,216.242,(NA)
 "10420" ,"Akron, OH (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),44.564,47.967,71.314,100.000,87.200,66.463,43.161,45.195,103.133,196.410,161.262,157.999
 "10420" ,"Akron, OH (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",7,"211","   Oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10420" ,"Akron, OH (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "10420" ,"Akron, OH (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",9,"213","   Support activities for mining",29.193,(D),40.756,(D),61.906,80.618,107.424,129.584,100.000,77.462,(D),(D),(D),(D),12.180,(D),(NA)
 "10420" ,"Akron, OH (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",10,"22","  Utilities",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10420" ,"Akron, OH (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",11,"23","  Construction",149.463,141.757,143.240,140.884,130.524,120.725,112.811,103.087,100.000,98.593,88.083,92.542,96.340,103.911,99.612,98.585,102.346
 "10420" ,"Akron, OH (Metropolitan Statistical Area)", ,MAGDP8,"Quantity indexes for real GDP by metropolitan area (2009=100.0)","Quantity index",12,"31-33","  Manufacturing",116.302,117.977,126.264,136.617,131.416,131.486,135.513,122.394,100.000,105.818,112.450,108.917,111.091,120.769,118.395,117.029,112.356
